ssyk4,year_month,young,n_employed,pctl_rank_genai,exposure_quartile,high_exposure
1211,2019-02,1,22,86.169998,Q4 (highest),1
1211,2019-03,0,7144,86.169998,Q4 (highest),1
1211,2019-03,1,22,86.169998,Q4 (highest),1
1211,2019-04,0,7143,86.169998,Q4 (highest),1
1211,2019-04,1,22,86.169998,Q4 (highest),1
1211,2019-05,0,7160,86.169998,Q4 (highest),1
1211,2019-05,1,21,86.169998,Q4 (highest),1
1211,2019-06,0,7148,86.169998,Q4 (highest),1
1211,2019-06,1,22,86.169998,Q4 (highest),1
1211,2019-07,0,7113,86.169998,Q4 (highest),1
1211,2019-07,1,26,86.169998,Q4 (highest),1
1211,2019-08,0,7088,86.169998,Q4 (highest),1
1211,2019-08,1,27,86.169998,Q4 (highest),1
1211,2019-09,0,7116,86.169998,Q4 (highest),1
1211,2019-09,1,28,86.169998,Q4 (highest),1
1211,2019-10,0,7094,86.169998,Q4 (highest),1
1211,2019-10,1,24,86.169998,Q4 (highest),1
1211,2019-11,0,7097,86.169998,Q4 (highest),1
1211,2019-11,1,25,86.169998,Q4 (highest),1
1211,2019-12,0,7114,86.169998,Q4 (highest),1
1211,2019-12,1,25,86.169998,Q4 (highest),1
1211,2020-01,0,6659,86.169998,Q4 (highest),1
1211,2020-01,1,18,86.169998,Q4 (highest),1
1211,2020-02,0,6656,86.169998,Q4 (highest),1
1211,2020-02,1,17,86.169998,Q4 (highest),1
1211,2020-03,0,6655,86.169998,Q4 (highest),1
1211,2020-03,1,17,86.169998,Q4 (highest),1
1211,2020-04,0,6648,86.169998,Q4 (highest),1
1211,2020-04,1,17,86.169998,Q4 (highest),1
1211,2020-05,0,6632,86.169998,Q4 (highest),1
1211,2020-05,1,17,86.169998,Q4 (highest),1
1211,2020-06,0,6660,86.169998,Q4 (highest),1
1211,2020-06,1,17,86.169998,Q4 (highest),1
1211,2020-07,0,6590,86.169998,Q4 (highest),1
1211,2020-07,1,19,86.169998,Q4 (highest),1
1211,2020-08,0,6576,86.169998,Q4 (highest),1
1211,2020-08,1,17,86.169998,Q4 (highest),1
1211,2020-09,0,6602,86.169998,Q4 (highest),1
1211,2020-09,1,19,86.169998,Q4 (highest),1
1211,2020-10,0,6592,86.169998,Q4 (highest),1
1211,2020-10,1,15,86.169998,Q4 (highest),1
1211,2020-11,0,6592,86.169998,Q4 (highest),1
1211,2020-11,1,16,86.169998,Q4 (highest),1
1211,2020-12,0,6627,86.169998,Q4 (highest),1
1211,2020-12,1,17,86.169998,Q4 (highest),1
1211,2021-01,0,6751,86.169998,Q4 (highest),1
1211,2021-01,1,18,86.169998,Q4 (highest),1
1211,2021-02,0,6743,86.169998,Q4 (highest),1
1211,2021-02,1,19,86.169998,Q4 (highest),1
1211,2021-03,0,6775,86.169998,Q4 (highest),1
1211,2021-03,1,18,86.169998,Q4 (highest),1
1211,2021-04,0,6755,86.169998,Q4 (highest),1
1211,2021-04,1,18,86.169998,Q4 (highest),1
1211,2021-05,0,6750,86.169998,Q4 (highest),1
1211,2021-05,1,19,86.169998,Q4 (highest),1
1211,2021-06,0,6758,86.169998,Q4 (highest),1
1211,2021-06,1,19,86.169998,Q4 (highest),1
1211,2021-07,0,6719,86.169998,Q4 (highest),1
1211,2021-07,1,22,86.169998,Q4 (highest),1
1211,2021-08,0,6705,86.169998,Q4 (highest),1
1211,2021-08,1,21,86.169998,Q4 (highest),1
1211,2021-09,0,6728,86.169998,Q4 (highest),1
1211,2021-09,1,21,86.169998,Q4 (highest),1
1211,2021-10,0,6726,86.169998,Q4 (highest),1
1211,2021-10,1,20,86.169998,Q4 (highest),1
1211,2021-11,0,6717,86.169998,Q4 (highest),1
1211,2021-11,1,20,86.169998,Q4 (highest),1
1211,2021-12,0,6764,86.169998,Q4 (highest),1
1211,2021-12,1,20,86.169998,Q4 (highest),1
1211,2022-01,0,6890,86.169998,Q4 (highest),1
1211,2022-01,1,13,86.169998,Q4 (highest),1
1211,2022-02,0,6892,86.169998,Q4 (highest),1
1211,2022-02,1,13,86.169998,Q4 (highest),1
1211,2022-03,0,6911,86.169998,Q4 (highest),1
1211,2022-03,1,12,86.169998,Q4 (highest),1
1211,2022-04,0,6900,86.169998,Q4 (highest),1
1211,2022-04,1,12,86.169998,Q4 (highest),1
1211,2022-05,0,6876,86.169998,Q4 (highest),1
1211,2022-05,1,11,86.169998,Q4 (highest),1
1211,2022-06,0,6889,86.169998,Q4 (highest),1
1211,2022-06,1,12,86.169998,Q4 (highest),1
1211,2022-07,0,6834,86.169998,Q4 (highest),1
1211,2022-07,1,13,86.169998,Q4 (highest),1
1211,2022-08,0,6815,86.169998,Q4 (highest),1
1211,2022-08,1,14,86.169998,Q4 (highest),1
1211,2022-09,0,6848,86.169998,Q4 (highest),1
1211,2022-09,1,13,86.169998,Q4 (highest),1
1211,2022-10,0,6832,86.169998,Q4 (highest),1
1211,2022-10,1,12,86.169998,Q4 (highest),1
1211,2022-11,0,6809,86.169998,Q4 (highest),1
1211,2022-11,1,11,86.169998,Q4 (highest),1
1211,2022-12,0,6848,86.169998,Q4 (highest),1
1211,2022-12,1,11,86.169998,Q4 (highest),1
1211,2023-01,0,6838,86.169998,Q4 (highest),1
1211,2023-01,1,21,86.169998,Q4 (highest),1
1211,2023-02,0,6839,86.169998,Q4 (highest),1
1211,2023-02,1,21,86.169998,Q4 (highest),1
1211,2023-03,0,6847,86.169998,Q4 (highest),1
1211,2023-03,1,19,86.169998,Q4 (highest),1
1211,2023-04,0,6841,86.169998,Q4 (highest),1
1211,2023-04,1,19,86.169998,Q4 (highest),1
1211,2023-05,0,6843,86.169998,Q4 (highest),1
1211,2023-05,1,19,86.169998,Q4 (highest),1
1211,2023-06,0,6838,86.169998,Q4 (highest),1
1211,2023-06,1,21,86.169998,Q4 (highest),1
1211,2023-07,0,6804,86.169998,Q4 (highest),1
1211,2023-07,1,22,86.169998,Q4 (highest),1
1211,2023-08,0,6793,86.169998,Q4 (highest),1
1211,2023-08,1,23,86.169998,Q4 (highest),1
1211,2023-09,0,6787,86.169998,Q4 (highest),1
1211,2023-09,1,21,86.169998,Q4 (highest),1
1211,2023-10,0,6778,86.169998,Q4 (highest),1
1211,2023-10,1,22,86.169998,Q4 (highest),1
1211,2023-11,0,6774,86.169998,Q4 (highest),1
1211,2023-11,1,21,86.169998,Q4 (highest),1
1211,2023-12,0,6779,86.169998,Q4 (highest),1
1211,2023-12,1,21,86.169998,Q4 (highest),1
