year_month,exposure_quartile,n_ads,share
2024-06,Q1 (lowest),8776,0.16507411030020314
2024-06,Q2,15620,0.293807839891656
2024-06,Q3,14582,0.27428334963509143
2024-06,Q4 (highest),14186,0.26683470017304944
2024-07,Q1 (lowest),6503,0.16817958465875293
2024-07,Q2,11521,0.2979543279799312
2024-07,Q3,10485,0.27116145550469395
2024-07,Q4 (highest),10158,0.2627046318566219
2024-08,Q1 (lowest),9072,0.1796151104775481
2024-08,Q2,15102,0.29900213827512473
2024-08,Q3,13921,0.2756197038092975
2024-08,Q4 (highest),12413,0.24576304743802962
2024-09,Q1 (lowest),9291,0.17347548452145337
2024-09,Q2,15414,0.28780014190223685
2024-09,Q3,14241,0.2658986519287501
2024-09,Q4 (highest),14612,0.27282572164755964
2024-10,Q1 (lowest),8796,0.15768527481983435
2024-10,Q2,15816,0.2835323222544907
2024-10,Q3,15972,0.28632892330859416
2024-10,Q4 (highest),15198,0.2724534796170808
2024-11,Q1 (lowest),7687,0.16212853014995887
2024-11,Q2,14457,0.30491637314660536
2024-11,Q3,11752,0.24786450973361737
2024-11,Q4 (highest),13517,0.2850905869698184
2024-12,Q1 (lowest),6587,0.16126031287487452
2024-12,Q2,11785,0.2885156804661297
2024-12,Q3,9938,0.2432981614316841
2024-12,Q4 (highest),12537,0.3069258452273117
2025-01,Q1 (lowest),10006,0.18775096633767405
2025-01,Q2,17927,0.33637932975569484
2025-01,Q3,12344,0.23162082035501183
2025-01,Q4 (highest),13017,0.2442488835516193
2025-02,Q1 (lowest),9886,0.186556461352657
2025-02,Q2,17435,0.3290119263285024
2025-02,Q3,12365,0.23333710748792272
2025-02,Q4 (highest),13306,0.2510945048309179
2025-03,Q1 (lowest),10632,0.18604000069992477
2025-03,Q2,18970,0.33193931652347375
2025-03,Q3,12908,0.22586571943516073
2025-03,Q4 (highest),14639,0.2561549633414408
2025-04,Q1 (lowest),10140,0.18347959829910432
2025-04,Q2,17299,0.3130190898398625
2025-04,Q3,12446,0.2252058264724509
2025-04,Q4 (highest),15380,0.2782954853885823
2025-05,Q1 (lowest),8829,0.17585547544118232
2025-05,Q2,15643,0.31157630562084215
2025-05,Q3,11647,0.23198422499302873
2025-05,Q4 (highest),14087,0.2805839939449468
2025-06,Q1 (lowest),6187,0.16126257623937862
2025-06,Q2,11717,0.3054006151279779
2025-06,Q3,9221,0.2403430120419121
2025-06,Q4 (highest),11241,0.2929937965907314
2025-07,Q1 (lowest),5252,0.18081663568133305
2025-07,Q2,9853,0.33922054671899743
2025-07,Q3,6392,0.22006472491909385
2025-07,Q4 (highest),7549,0.2598980926805756
2025-08,Q1 (lowest),7723,0.1954249854500367
2025-08,Q2,13723,0.34725068954173943
2025-08,Q3,8636,0.2185277967559908
2025-08,Q4 (highest),9437,0.2387965282522331
2025-09,Q1 (lowest),8528,0.1796351687239331
2025-09,Q2,15793,0.33266630155453514
2025-09,Q3,10700,0.2253865273623457
2025-09,Q4 (highest),12453,0.26231200235918606
2025-10,Q1 (lowest),7913,0.16512593643705265
2025-10,Q2,15547,0.32442979069718914
2025-10,Q3,10797,0.2253083199432399
2025-10,Q4 (highest),13664,0.2851359529225183
2025-11,Q1 (lowest),6955,0.16524507591057047
2025-11,Q2,13868,0.3294922663878923
2025-11,Q3,9789,0.23257858347786833
2025-11,Q4 (highest),11477,0.2726840742236689
2025-12,Q1 (lowest),6444,0.1582009672746913
2025-12,Q2,12823,0.31480617680995754
2025-12,Q3,9313,0.22863525888100558
2025-12,Q4 (highest),12153,0.2983575970343456
