dm,mcl,beta_artificial,erases_headline
0.04,0.125,-0.1743533871447778,True
0.04,0.13,-0.1800840618537628,True
0.04,0.135,-0.1858477665705129,True
0.04,0.14,-0.1916448842548387,True
0.04,0.145,-0.197475804565632,True
0.04,0.15,-0.2033409240180301,True
0.04,0.155,-0.2092406461452184,True
0.04,0.16,-0.215175381665033,True
0.04,0.165,-0.2211455486515367,True
0.04,0.17,-0.2271515727117486,True
0.04,0.175,-0.2331938871677112,True
0.04,0.18,-0.2392729332440933,True
0.04,0.185,-0.2453891602615296,True
0.04,0.19,-0.2515430258359076,True
0.04,0.195,-0.2577349960838289,True
0.04,0.2,-0.2639655458344648,True
0.045,0.0,-0.0460439385014068,False
0.045,0.005,-0.0510564803249511,False
0.045,0.01,-0.0560942743549083,False
0.045,0.015,-0.061157576311455,False
0.045,0.02,-0.0662466458189263,False
0.045,0.025,-0.0713617464856967,False
0.045,0.03,-0.0765031459861154,False
0.045,0.035,-0.081671116144558,False
0.045,0.04,-0.0868659330216619,False
0.045,0.045,-0.0920878770028136,False
0.045,0.05,-0.0973372328889574,False
0.045,0.055,-0.1026142899898012,False
0.045,0.06,-0.1079193422194943,False
0.045,0.065,-0.1132526881948569,False
0.045,0.07,-0.1186146313362423,False
0.045,0.075,-0.1240054799711186,False
0.045,0.08,-0.1294255474404578,False
0.045,0.085,-0.1348751522080226,False
0.045,0.09,-0.1403546179726481,False
0.045,0.095,-0.1458642737836177,False
0.045,0.1,-0.1514044541592331,False
0.045,0.105,-0.1569754992086885,False
0.045,0.11,-0.1625777547573583,False
0.045,0.115,-0.1682115724756143,False
0.045,0.12,-0.1738773100112917,False
0.045,0.125,-0.1795753311259295,True
0.045,0.13,-0.1853060058349145,True
0.045,0.135,-0.1910697105516645,True
0.045,0.14,-0.1968668282359905,True
0.045,0.145,-0.2026977485467837,True
0.045,0.15,-0.2085628679991817,True
0.045,0.155,-0.2144625901263701,True
0.045,0.16,-0.2203973256461846,True
0.045,0.165,-0.2263674926326884,True
0.045,0.17,-0.2323735166929003,True
