year_month,age_group,exposure_quartile,n_emp,share_of_coded
2020-02,31-34,3,82004,0.179291918920278
2020-02,31-34,4,132514,0.2897259809741198
2020-02,35-40,1,125310,0.1949970822797121
2020-02,35-40,2,190885,0.2970394864812293
2020-02,35-40,3,127369,0.198201128185178
2020-02,35-40,4,199061,0.3097623030538806
2020-02,41-49,1,187902,0.1860425051609166
2020-02,41-49,2,280251,0.2774776112753033
2020-02,41-49,3,218719,0.2165545373986999
2020-02,41-49,4,323123,0.31992534616508
2020-02,50+,1,395673,0.2181268805562201
2020-02,50+,2,532534,0.2935757057219627
2020-02,50+,3,386443,0.2130385598784536
2020-02,50+,4,499308,0.2752588538433635
2020-03,22-25,1,86332,0.2799841736231376
2020-03,22-25,2,146516,0.4751675066321599
2020-03,22-25,3,33604,0.1089814688693869
2020-03,22-25,4,41894,0.1358668508753154
2020-03,26-30,1,131334,0.2310383832555488
2020-03,26-30,2,207052,0.3642389581511863
2020-03,26-30,3,87864,0.1545674121428232
2020-03,26-30,4,142201,0.2501552464504416
2020-03,31-34,1,95743,0.2084010822411882
2020-03,31-34,2,148494,0.3232226931088749
2020-03,31-34,3,82444,0.1794535247933794
2020-03,31-34,4,132736,0.2889226998565573
2020-03,35-40,1,126332,0.1956578975898203
2020-03,35-40,2,191803,0.2970567372591292
2020-03,35-40,3,127837,0.1979887807854689
2020-03,35-40,4,199706,0.3092965843655816
2020-03,41-49,1,189664,0.1866562216444217
2020-03,41-49,2,281599,0.2771332744160596
2020-03,41-49,3,219826,0.216339898869615
2020-03,41-49,4,325025,0.3198706050699035
2020-03,50+,1,397381,0.2177308446322452
2020-03,50+,2,534644,0.2929392439436261
2020-03,50+,3,389211,0.2132543824947866
2020-03,50+,4,503866,0.276075528929342
2020-04,22-25,1,86520,0.281574630945872
2020-04,22-25,2,146108,0.4755005337290739
2020-04,22-25,3,32902,0.1070777682314041
2020-04,22-25,4,41742,0.1358470670936499
2020-04,26-30,1,130931,0.2317108565077814
2020-04,26-30,2,205632,0.3639105089353027
2020-04,26-30,3,86987,0.1539423992411452
2020-04,26-30,4,141512,0.2504362353157706
2020-04,31-34,1,95629,0.2089840250005463
2020-04,31-34,2,147692,0.3227605498371905
2020-04,31-34,3,81953,0.1790970082388164
2020-04,31-34,4,132316,0.2891584169234467
2020-04,35-40,1,125797,0.1954753676516291
2020-04,35-40,2,190872,0.2965951046082319
