grp,expband,fresh,n,ws,wh
53B,0-2,1,12642.0,393668.54962291,668.0
53B,11-20,0,13911.0,427232.94358738,472.0
53B,11-20,1,20375.0,712103.80227437,1100.0
53B,21+,0,26230.0,830026.7025835001,1245.0
53B,21+,1,39032.0,1315059.64877363,2277.0
53B,3-5,0,5622.0,157294.3483332,166.0
53B,3-5,1,9672.0,317413.63760653,500.0
53B,6-10,0,10110.0,291025.22624348,311.0
53B,6-10,1,15518.0,516131.39575337,813.0
53B,na,0,1244.0,30638.01971448,11.0
53B,na,1,1491.0,39369.24975489,37.0
53E,0-2,0,2334.0,72761.54979005,90.0
53E,0-2,1,7852.0,254306.49762992,378.0
53E,11-20,0,12171.0,503512.51037068,1774.0
53E,11-20,1,25089.0,1055323.54895808,3967.0
53E,21+,0,26810.0,1225001.91114675,4446.0
53E,21+,1,52022.0,2378141.51837839,9944.0
53E,3-5,0,2889.0,96661.24927113,152.0
53E,3-5,1,6917.0,234834.2178801,467.0
53E,6-10,0,5932.0,214598.8094337,533.0
53E,6-10,1,12677.0,472586.31818261,1437.0
53E,na,0,1560.0,56389.19010408,173.0
53E,na,1,2610.0,92994.85014846,297.0
53F,0-2,0,1210.0,27981.85042612,5.0
53F,0-2,1,4322.0,105031.8219804,86.0
53F,11-20,0,7689.0,208947.22308294,425.0
53F,11-20,1,14641.0,451482.26510829,1239.0
53F,21+,0,19538.0,643867.30597304,1532.0
53F,21+,1,35950.0,1225475.4291971,3640.0
53F,3-5,0,1862.0,40336.58096004,18.0
53F,3-5,1,3769.0,90485.24184331,116.0
53F,6-10,0,3908.0,90841.55181281,95.0
53F,6-10,1,6759.0,178363.55275913,350.0
53F,na,0,918.0,20658.56018306,6.0
53F,na,1,1326.0,31155.77026534,17.0
53I,0-2,0,1153.0,28054.8001202,33.0
53I,0-2,1,4053.0,97020.69011259,136.0
53I,11-20,0,12202.0,431321.29192706,1539.0
53I,11-20,1,24182.0,894330.15294703,3481.0
53I,21+,0,47347.0,1573404.25430693,3967.0
53I,21+,1,86663.0,2859623.55616778,7743.0
53I,3-5,0,1666.0,41014.70020721,66.0
53I,3-5,1,4127.0,112616.12026652,327.0
53I,6-10,0,4885.0,149648.27062801,451.0
