ssyk1,age_group,code_age,ssyk_status,n,year
8,50+,3,2,86.0,2019
9,50+,4,4,41.0,2019
8,22-29,-1,2,59.0,2019
4,30-49,1,1,13711.0,2019
7,30-49,4,3,20.0,2019
6,30-49,2,2,24.0,2019
1,30-49,0,2,1271.0,2019
2,50+,4,2,206.0,2019
0,50+,4,5,34.0,2019
7,22-29,5,2,21.0,2019
5,50+,2,2,405.0,2019
4,30-49,0,1,112146.0,2019
1,30-49,4,1,2878.0,2019
5,22-29,3,3,81.0,2019
9,50+,4,5,4927.0,2019
1,30-49,5,2,29.0,2019
2,50+,1,4,1692.0,2019
7,30-49,2,1,9015.0,2019
0,30-49,4,5,59.0,2019
6,50+,-1,2,10.0,2019
4,22-29,-1,1,1564.0,2019
9,50+,5,3,12.0,2019
3,50+,4,2,149.0,2019
7,30-49,0,3,78.0,2019
5,30-49,1,4,3299.0,2019
3,30-49,1,2,2361.0,2019
0,50+,5,2,6.0,2019
3,50+,1,4,1081.0,2019
6,30-49,4,5,460.0,2019
5,30-49,4,1,5441.0,2019
4,50+,5,5,6293.0,2019
5,22-29,4,2,187.0,2019
8,50+,-1,4,32.0,2019
8,22-29,3,4,74.0,2019
6,50+,-1,1,505.0,2019
1,30-49,-1,3,26.0,2019
6,30-49,-1,3,,2019
9,22-29,0,5,1128.0,2019
7,50+,5,4,73.0,2019
5,22-29,1,4,4511.0,2019
5,30-49,-1,4,92.0,2019
4,22-29,5,4,25.0,2019
3,50+,4,1,4024.0,2019
5,22-29,0,1,166686.0,2019
8,50+,0,5,492.0,2019
8,30-49,0,12,175.0,2019
1,22-29,2,3,,2019
2,22-29,3,4,72.0,2019
0,22-29,5,4,5.0,2019
3,30-49,0,4,709.0,2019
0,50+,3,5,42.0,2019
2,22-29,5,1,87.0,2019
3,50+,2,5,8295.0,2019
9,50+,3,4,23.0,2019
1,30-49,3,1,4872.0,2019
9,30-49,1,5,3371.0,2019
3,30-49,4,3,25.0,2019
9,22-29,3,2,62.0,2019
9,30-49,2,5,5309.0,2019
1,30-49,2,2,193.0,2019
0,30-49,0,5,,2019
7,50+,5,5,5419.0,2019
0,30-49,5,4,9.0,2019
8,30-49,0,5,691.0,2019
1,50+,3,3,25.0,2019
8,50+,5,4,43.0,2019
2,22-29,4,4,33.0,2019
5,30-49,0,5,2727.0,2019
1,30-49,1,2,1274.0,2019
8,50+,2,1,5085.0,2019
1,50+,3,5,4187.0,2019
5,50+,2,1,9180.0,2019
6,50+,0,15,10855.0,2019
3,30-49,4,5,3867.0,2019
9,30-49,2,3,67.0,2019
4,50+,2,5,5213.0,2019
6,30-49,-1,4,7.0,2019
2,50+,2,1,9635.0,2019
1,30-49,0,3,68.0,2019
4,50+,1,5,2064.0,2019
7,22-29,2,4,263.0,2019
1,30-49,4,3,37.0,2019
2,22-29,0,14,585.0,2019
2,22-29,3,5,2043.0,2019
7,30-49,3,3,14.0,2019
8,22-29,-1,3,8.0,2019
9,30-49,0,1,72070.0,2019
9,50+,1,4,408.0,2019
9,50+,3,1,1662.0,2019
3,50+,-1,3,16.0,2019
4,50+,4,3,22.0,2019
5,22-29,-1,3,38.0,2019
1,22-29,1,1,970.0,2019
0,22-29,1,4,25.0,2019
4,22-29,5,1,194.0,2019
8,30-49,0,15,1203.0,2019
5,30-49,0,3,1824.0,2019
7,30-49,4,5,3987.0,2019
2,30-49,-1,1,9432.0,2019
8,30-49,5,1,988.0,2019
3,30-49,2,4,464.0,2019
1,30-49,0,5,469.0,2019
6,22-29,3,4,8.0,2019
1,50+,1,1,14847.0,2019
1,22-29,2,1,382.0,2019
9,30-49,4,1,1565.0,2019
9,50+,0,4,129.0,2019
7,30-49,3,5,3330.0,2019
7,30-49,4,2,152.0,2019
0,30-49,0,3,,2019
2,30-49,0,5,2931.0,2019
7,30-49,0,12,903.0,2019
5,30-49,2,2,495.0,2019
2,22-29,0,4,445.0,2019
8,50+,-1,3,12.0,2019
8,30-49,1,5,1842.0,2019
8,30-49,0,13,1263.0,2019
7,50+,-1,4,41.0,2019
2,50+,0,14,6685.0,2019
0,22-29,4,4,14.0,2019
6,30-49,3,5,350.0,2019
4,22-29,3,4,100.0,2019
4,50+,4,5,6542.0,2019
2,22-29,3,3,7.0,2019
3,30-49,0,3,454.0,2019
0,22-29,2,2,,2019
1,50+,5,4,61.0,2019
1,30-49,1,5,1418.0,2019
5,30-49,0,2,3242.0,2019
7,30-49,1,3,37.0,2019
6,22-29,-1,2,17.0,2019
2,50+,0,4,354.0,2019
8,22-29,1,1,5517.0,2019
0,30-49,3,2,10.0,2019
7,22-29,4,1,1346.0,2019
9,50+,0,12,,2019
0,50+,2,5,5.0,2019
5,22-29,2,1,6813.0,2019
3,50+,1,5,4126.0,2019
4,22-29,-1,3,25.0,2019
3,22-29,5,2,7.0,2019
4,50+,2,2,185.0,2019
6,50+,5,2,11.0,2019
0,22-29,0,4,16.0,2019
2,22-29,0,2,1364.0,2019
4,50+,1,2,828.0,2019
6,22-29,2,4,30.0,2019
