inr,expband,fresh,n,ws,wh
212c,3-5,1,56.0,4820.09005,51.0
212c,6-10,0,44.0,3311.7000230000003,33.0
212c,6-10,1,111.0,8630.640039,71.0
212x,0-2,0,405.0,18784.6001948,58.0
212x,0-2,1,384.0,19686.4301193,15.0
212x,11-20,0,143.0,8423.60006,11.0
212x,11-20,1,228.0,13334.380024,24.0
212x,21+,0,15.0,945.0,0.0
212x,21+,1,55.0,3596.50002,0.0
212x,3-5,0,70.0,3779.020019,5.0
212x,3-5,1,57.0,3585.71004,0.0
212x,6-10,0,134.0,7823.0400636,14.0
212x,6-10,1,152.0,8985.850035,7.0
212x,na,0,123.0,4141.7999749,7.0
212x,na,1,143.0,6070.8399952,13.0
213a,0-2,0,92.0,5114.5401047,36.0
213a,0-2,1,156.0,10849.0801665,92.0
213a,11-20,0,78.0,6768.09011,73.0
213a,11-20,1,61.0,5443.850076,61.0
213a,3-5,0,194.0,13131.5301573,111.0
213a,3-5,1,273.0,21195.250189,197.0
213a,6-10,0,277.0,21472.820215,193.0
213a,6-10,1,432.0,33947.03031,305.0
213b,0-2,0,138.0,6574.5900689,27.0
213b,0-2,1,152.0,9594.800068,70.0
213b,11-20,0,211.0,15080.180153,121.0
213b,11-20,1,371.0,27048.760158,234.0
213b,21+,0,75.0,5627.199985,48.0
213b,21+,1,100.0,8080.040018,89.0
213b,3-5,0,107.0,5930.6800286,27.0
213b,3-5,1,125.0,8977.600077000001,84.0
213b,6-10,0,143.0,8587.8300505,44.0
213b,6-10,1,205.0,14019.330123,115.0
213c,11-20,0,85.0,6518.180111,58.0
213c,11-20,1,161.0,12098.710156,108.0
213c,21+,0,128.0,9459.520129,72.0
213c,21+,1,124.0,9821.890116,95.0
213c,6-10,0,24.0,1080.839994,6.0
213c,6-10,1,20.0,718.219987,0.0
213d,0-2,0,498.0,27555.2903509,181.0
213d,0-2,1,412.0,30731.6003308,289.0
213d,11-20,0,532.0,41909.0503195,394.0
213d,11-20,1,925.0,70143.960369,611.0
213d,21+,0,211.0,16372.54014,150.0
213d,21+,1,274.0,20492.02012,177.0
213d,3-5,0,407.0,30530.2903263,277.0
213d,3-5,1,453.0,35548.010274,335.0
213d,6-10,0,729.0,58484.1306266,563.0
213d,6-10,1,793.0,62033.93047,564.0
213x,0-2,0,1295.0,57900.2507384,220.0
213x,0-2,1,917.0,48530.9004988,260.0
213x,11-20,0,900.0,69227.780673,601.0
213x,11-20,1,1510.0,110367.3207117,930.0
213x,21+,0,94.0,7787.020097,72.0
213x,21+,1,210.0,17088.520147,169.0
213x,3-5,0,278.0,17692.200203200002,135.0
213x,3-5,1,372.0,24828.5402788,200.0
213x,6-10,0,468.0,33564.4604205,280.0
213x,6-10,1,716.0,47075.9003837,360.0
213x,na,0,58.0,3490.5500539,33.0
213x,na,1,75.0,5545.1100535000005,55.0
214a,11-20,0,41.0,2913.369927,32.0
214a,11-20,1,77.0,5716.449844,68.0
214a,21+,1,19.0,1453.789943,19.0
214a,6-10,0,13.0,837.249986,8.0
214a,6-10,1,34.0,2455.3599480000003,27.0
214b,0-2,0,11.0,487.630022,0.0
214b,0-2,1,13.0,565.6400209999999,0.0
214b,11-20,0,25.0,2020.64995,20.0
214b,11-20,1,65.0,5561.469822,59.0
214b,21+,0,83.0,7139.669781,78.0
214b,21+,1,105.0,8530.889728999999,85.0
214b,6-10,0,35.0,2002.04001,7.0
214b,6-10,1,39.0,2508.179985,11.0
214c,0-2,0,15.0,654.300025,0.0
214c,0-2,1,23.0,1351.450041,7.0
214c,11-20,0,92.0,7682.440005,72.0
214c,11-20,1,221.0,17911.179942,170.0
214c,21+,0,18.0,1572.299964,18.0
214c,21+,1,76.0,6573.189908,76.0
214c,3-5,0,18.0,1678.680036,18.0
214c,3-5,1,22.0,2022.170024,22.0
214c,6-10,0,46.0,3889.560064,39.0
214c,6-10,1,69.0,5724.900056,56.0
214x,0-2,0,545.0,25950.7802936,125.0
214x,0-2,1,510.0,34150.63994,284.0
214x,11-20,0,343.0,28386.639973,289.0
214x,11-20,1,710.0,57313.52968,577.0
214x,21+,0,56.0,4873.659948,51.0
214x,21+,1,146.0,11980.099865,125.0
214x,3-5,0,322.0,21793.9300398,188.0
214x,3-5,1,441.0,35583.179917,356.0
214x,6-10,0,386.0,29362.150046,288.0
214x,6-10,1,740.0,59841.579851,588.0
214x,na,0,62.0,4642.009962,52.0
214x,na,1,143.0,10979.6798979,120.0
215z,0-2,0,157.0,6703.0100829,18.0
215z,0-2,1,156.0,7063.650017,25.0
215z,11-20,0,196.0,8780.170106,26.0
215z,11-20,1,413.0,20003.6000216,92.0
