export_file,script,exhibit_scripts,manifest_rows,used_for,status
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_stock_22_25_backward_f5_mixed43.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_stock_22_25_forward_f5.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_stock_26_30_backward_f5.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_stock_26_30_backward_f5_four_only.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_stock_26_30_backward_f5_mixed43.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_vintage_cascade_back_2019.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_vintage_code_2019_only.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_drift_22_25.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_drift_26_30.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_size_floor_5_22_25.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_size_floor_5_26_30.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_size_floor_60_22_25.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_size_floor_60_26_30.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_size_tercile_2_22_25.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_size_tercile_2_26_30.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_size_tercile_3_22_25.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_size_tercile_3_26_30.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_window_22_25.csv,83,14_tab_window.py,,Online Appendix Table A17,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_window_26_30.csv,83,14_tab_window.py,,Online Appendix Table A17,read by the package
2026-09-23_0917_s84/84_summary.txt,84,,,,not read by any exhibit or manifest row
2026-09-23_0917_s84/occ_route_path.csv,84,03_figure3_quarterly_path.py 13_tab_fixed_contrasts.py,,Figure 3 of the paper; Online Appendix Table A16,read by the package
2026-09-23_0917_s84/vcov_s84_path_month_22_25.csv,84,,,,not read by any exhibit or manifest row
2026-09-23_0917_s84/vcov_s84_path_month_26_30.csv,84,,,,not read by any exhibit or manifest row
2026-09-23_0917_s84/vcov_s84_path_quarter_22_25.csv,84,,,,not read by any exhibit or manifest row
2026-09-23_0917_s84/vcov_s84_path_quarter_26_30.csv,84,,,,not read by any exhibit or manifest row
2026-09-23_1001_s85/85_summary.txt,85,,,,not read by any exhibit or manifest row
2026-09-23_1001_s85/occ_route_profile_arms.csv,85,02_figure2_age_profile.py,,Figure 2 of the paper,read by the package
2026-09-23_1001_s85/vcov_s85_profile_plain.csv,85,,,,not read by any exhibit or manifest row
2026-09-23_1001_s85/vcov_s85_profile_seasonal.csv,85,,,,not read by any exhibit or manifest row
2026-09-23_1125_s85/85_summary.txt,85,,,,not read by any exhibit or manifest row
2026-09-23_1125_s85/occ_route_descriptive_full.csv,85,05_tab_descriptive_bands.py,,Online Appendix Table A9,read by the package
2026-09-23_1125_s85/occ_route_profile_arms.csv,85,,,,not read by any exhibit or manifest row
2026-09-23_1125_s85/occ_route_split65.csv,85,04_tab_estimation_sample.py 08_tab_profile_bands.py,,Online Appendix Table A2; Online Appendix Table A11,read by the package
2026-09-23_1125_s85/vcov_s78_prof_split.csv,85,08_tab_profile_bands.py,,Online Appendix Table A11,read by the package
2026-09-23_1125_s85/vcov_s85_profile_plain.csv,85,,,,not read by any exhibit or manifest row
2026-09-23_1125_s85/vcov_s85_profile_seasonal.csv,85,,,,not read by any exhibit or manifest row
2026-09-23_1234_s86/86_summary.txt,86,07_tab_prepath.py,,Online Appendix Table A10,read by the package
2026-09-23_1234_s86/occ_route_predrift.csv,86,,,,not read by any exhibit or manifest row
2026-09-23_1234_s86/occ_route_prepath.csv,86,06_fig_prepath.py 07_tab_prepath.py,,Online Appendix Figure A5; Online Appendix Table A10,read by the package
2026-09-23_1234_s86/vcov_s78_predrift_22_25.csv,86,,,,not read by any exhibit or manifest row
2026-09-23_1234_s86/vcov_s78_predrift_26_30.csv,86,,,,not read by any exhibit or manifest row
2026-09-23_1234_s86/vcov_s78_prepath_22_25.csv,86,,,,not read by any exhibit or manifest row
2026-09-23_1234_s86/vcov_s78_prepath_26_30.csv,86,,,,not read by any exhibit or manifest row
2026-09-23_1352_s87/87_summary.txt,87,15_tab_gender_split.py,,Online Appendix Table A18,read by the package
2026-09-23_1352_s87/occ_route_education_mix_by_sex.csv,87,15_tab_gender_split.py 16_tab_education_mix.py 17_tab_contrast_by_track.py,M044 OA086 OA088,Online Appendix Table A18; Online Appendix Table A19; Online Appendix Table A20; Section 3; III.2 field,read by the package
2026-09-23_1352_s87/occ_route_gender_by_track.csv,87,15_tab_gender_split.py,M044 OA086 OA088,Online Appendix Table A18; Section 3; III.2 field,read by the package
2026-09-23_1352_s87/occ_route_gender_split.csv,87,01_table1_headline.py 15_tab_gender_split.py,M043 OA085 OA087,Table 1 of the paper; Online Appendix Table A18; Section 3; III.2 field,read by the package
2026-09-23_1352_s87/vcov_s87_all.csv,87,,,,not read by any exhibit or manifest row
2026-09-23_1352_s87/vcov_s87_business_law_social.csv,87,,,,not read by any exhibit or manifest row
2026-09-23_1352_s87/vcov_s87_engineering.csv,87,,,,not read by any exhibit or manifest row
2026-09-23_1352_s87/vcov_s87_health_education_care.csv,87,,,,not read by any exhibit or manifest row
2026-09-23_1352_s87/vcov_s87_ict.csv,87,,,,not read by any exhibit or manifest row
2026-09-23_1352_s87/vcov_s87_other.csv,87,,,,not read by any exhibit or manifest row
2026-09-23_1407_s88/88_summary.txt,88,17_tab_contrast_by_track.py,,Online Appendix Table A20,read by the package
2026-09-23_1407_s88/occ_route_contrast_by_track.csv,88,04_tab_estimation_sample.py 17_tab_contrast_by_track.py,M045 M046 M047 M048,Online Appendix Table A2; Online Appendix Table A20; Section 3,read by the package
2026-09-23_1407_s88/vcov_s88_all.csv,88,,,,not read by any exhibit or manifest row
2026-09-23_1407_s88/vcov_s88_business_law_social.csv,88,,,,not read by any exhibit or manifest row
2026-09-23_1407_s88/vcov_s88_engineering.csv,88,,,,not read by any exhibit or manifest row
2026-09-23_1407_s88/vcov_s88_health_education_care.csv,88,,,,not read by any exhibit or manifest row
2026-09-23_1407_s88/vcov_s88_ict.csv,88,,,,not read by any exhibit or manifest row
2026-09-23_1407_s88/vcov_s88_other.csv,88,,,,not read by any exhibit or manifest row
2026-09-23_1814_s89-s90/89_summary.txt,89,,,,not read by any exhibit or manifest row
2026-09-23_1814_s89-s90/vcov_s89_ai_in_high_wfh.csv,89,,,,not read by any exhibit or manifest row
2026-09-23_1814_s89-s90/vcov_s89_ai_in_low_wfh.csv,89,,,,not read by any exhibit or manifest row
2026-09-23_1814_s89-s90/vcov_s89_timing.csv,89,,,,not read by any exhibit or manifest row
2026-09-23_1814_s89-s90/vcov_s89_wfh_in_high_ai.csv,89,,,,not read by any exhibit or manifest row
2026-09-23_1814_s89-s90/vcov_s89_wfh_in_low_ai.csv,89,,,,not read by any exhibit or manifest row
