age_group,stale_years,ssyk_status,n,year
26-30,0,1,371350.0,2021
31-34,1,1,32883.0,2021
41-49,5,5,12507.0,2021
26-30,2,5,27613.0,2021
50+,1,2,12226.0,2021
26-30,6,5,8460.0,2021
41-49,4,1,10012.0,2021
41-49,0,2,7741.0,2021
35-40,0,15,2991.0,2021
26-30,1,3,350.0,2021
31-34,5,2,99.0,2021
41-49,3,4,870.0,2021
35-40,3,1,18170.0,2021
26-30,2,3,228.0,2021
31-34,2,2,1095.0,2021
31-34,-1,2,654.0,2021
41-49,5,3,94.0,2021
31-34,7,4,45.0,2021
31-34,6,2,85.0,2021
22-25,6,3,8.0,2021
31-34,0,11,,2021
31-34,5,5,8087.0,2021
50+,0,5,7785.0,2021
50+,0,14,34683.0,2021
22-25,0,4,1525.0,2021
50+,3,2,1958.0,2021
26-30,1,5,11689.0,2021
35-40,5,1,2928.0,2021
26-30,6,1,1452.0,2021
41-49,0,5,4857.0,2021
35-40,0,12,1896.0,2021
35-40,-1,2,760.0,2021
35-40,0,3,1944.0,2021
41-49,5,4,197.0,2021
26-30,4,3,85.0,2021
50+,7,3,90.0,2021
26-30,7,4,53.0,2021
22-25,6,4,43.0,2021
35-40,0,11,,2021
26-30,3,5,22426.0,2021
41-49,1,1,48062.0,2021
35-40,2,5,21258.0,2021
31-34,0,5,3638.0,2021
50+,3,1,64281.0,2021
41-49,6,1,5160.0,2021
41-49,2,1,36512.0,2021
41-49,1,4,6549.0,2021
35-40,4,5,12942.0,2021
31-34,1,5,7974.0,2021
50+,3,4,1202.0,2021
41-49,2,4,1583.0,2021
31-34,0,12,1207.0,2021
35-40,-1,4,436.0,2021
26-30,3,4,809.0,2021
31-34,3,3,119.0,2021
22-25,5,3,14.0,2021
22-25,7,2,,2021
50+,0,1,1137120.0,2021
41-49,0,14,13296.0,2021
31-34,4,1,3507.0,2021
31-34,0,2,5782.0,2021
31-34,5,1,1765.0,2021
26-30,3,2,661.0,2021
22-25,0,5,2877.0,2021
41-49,6,5,10594.0,2021
35-40,7,5,4994.0,2021
50+,0,4,2073.0,2021
22-25,0,13,667.0,2021
31-34,0,15,1972.0,2021
26-30,0,2,8378.0,2021
50+,-1,2,1219.0,2021
22-25,0,12,235.0,2021
35-40,2,2,1255.0,2021
31-34,5,4,143.0,2021
35-40,6,4,97.0,2021
50+,4,3,304.0,2021
31-34,-1,3,149.0,2021
26-30,7,3,18.0,2021
35-40,6,2,136.0,2021
31-34,7,2,45.0,2021
50+,1,1,116134.0,2021
31-34,6,5,6326.0,2021
50+,2,1,72554.0,2021
22-25,3,1,5876.0,2021
31-34,-1,1,15788.0,2021
50+,1,4,7319.0,2021
26-30,4,1,3411.0,2021
22-25,3,4,664.0,2021
26-30,0,15,1973.0,2021
50+,2,4,2037.0,2021
31-34,-1,4,373.0,2021
41-49,2,3,336.0,2021
50+,3,3,719.0,2021
35-40,3,3,167.0,2021
22-25,4,3,42.0,2021
31-34,6,4,107.0,2021
41-49,0,1,691173.0,2021
35-40,-1,1,20673.0,2021
22-25,1,1,23052.0,2021
41-49,3,5,22411.0,2021
50+,0,13,19276.0,2021
26-30,1,2,7188.0,2021
41-49,0,4,1780.0,2021
41-49,7,1,2488.0,2021
22-25,4,1,1920.0,2021
31-34,7,5,3883.0,2021
22-25,1,4,5679.0,2021
35-40,0,13,3281.0,2021
26-30,2,2,1503.0,2021
22-25,-1,2,811.0,2021
41-49,7,4,65.0,2021
41-49,5,2,187.0,2021
26-30,5,3,42.0,2021
22-25,6,2,29.0,2021
50+,0,2,10280.0,2022
41-49,1,2,8441.0,2022
26-30,1,1,36931.0,2022
26-30,5,1,1745.0,2022
31-34,0,14,4335.0,2022
22-25,2,4,1324.0,2022
26-30,0,3,2224.0,2022
22-25,-1,4,1332.0,2022
31-34,4,4,536.0,2022
31-34,4,2,424.0,2022
31-34,1,3,318.0,2022
35-40,7,2,93.0,2022
50+,8,3,80.0,2022
35-40,-1,3,427.0,2022
22-25,3,3,96.0,2022
35-40,8,3,17.0,2022
31-34,0,1,338955.0,2022
41-49,4,5,13312.0,2022
35-40,2,1,16603.0,2022
50+,4,1,56264.0,2022
31-34,3,4,843.0,2022
41-49,8,1,1964.0,2022
26-30,4,4,565.0,2022
26-30,3,1,10163.0,2022
31-34,2,5,11571.0,2022
41-49,3,2,960.0,2022
31-34,3,2,612.0,2022
50+,6,2,520.0,2022
35-40,1,3,357.0,2022
22-25,4,4,371.0,2022
22-25,1,3,308.0,2022
35-40,4,4,685.0,2022
22-25,0,14,1064.0,2022
22-25,5,4,113.0,2022
41-49,7,3,85.0,2022
26-30,6,3,26.0,2022
22-25,7,1,22.0,2022
35-40,0,2,6925.0,2022
26-30,4,2,389.0,2022
22-25,1,2,6344.0,2022
31-34,3,1,11465.0,2022
22-25,7,5,234.0,2022
41-49,3,1,27452.0,2022
35-40,5,5,6947.0,2022
31-34,7,1,1159.0,2022
22-25,6,5,1753.0,2022
35-40,3,4,952.0,2022
41-49,0,15,4102.0,2022
31-34,1,4,7518.0,2022
31-34,8,4,43.0,2022
31-34,4,5,9283.0,2022
26-30,2,4,1828.0,2022
35-40,5,3,71.0,2022
26-30,-1,4,1338.0,2022
50+,7,2,483.0,2022
26-30,6,4,158.0,2022
50+,5,3,197.0,2022
22-25,5,1,600.0,2022
22-25,-1,3,422.0,2022
35-40,6,3,32.0,2022
22-25,2,3,98.0,2022
22-25,0,1,208612.0,2022
26-30,4,5,11867.0,2022
26-30,2,1,12513.0,2022
26-30,-1,1,12250.0,2022
50+,5,5,18428.0,2022
22-25,2,5,13669.0,2022
41-49,5,1,6108.0,2022
50+,0,3,4671.0,2022
26-30,1,4,10315.0,2022
41-49,0,3,3123.0,2022
41-49,0,12,3125.0,2022
50+,0,12,4980.0,2022
35-40,6,5,5140.0,2022
50+,2,2,2719.0,2022
41-49,2,2,1186.0,2022
35-40,0,5,2612.0,2022
22-25,6,1,161.0,2022
35-40,5,4,255.0,2022
31-34,8,1,536.0,2022
41-49,-1,2,862.0,2022
31-34,5,3,47.0,2022
41-49,6,2,124.0,2022
41-49,0,11,,2022
31-34,0,13,2272.0,2022
35-40,1,1,43458.0,2022
35-40,1,4,8102.0,2022
50+,7,5,13152.0,2022
50+,4,2,1918.0,2022
41-49,8,5,3568.0,2022
41-49,-1,4,1219.0,2022
26-30,0,14,3094.0,2022
50+,8,5,8704.0,2022
26-30,0,12,1219.0,2022
41-49,4,3,282.0,2022
22-25,4,2,268.0,2022
35-40,4,2,647.0,2022
41-49,8,4,94.0,2022
50+,6,3,136.0,2022
50+,1,5,14130.0,2022
50+,2,5,24705.0,2022
50+,6,1,11534.0,2022
26-30,-1,3,478.0,2022
22-25,3,2,572.0,2022
31-34,1,2,5889.0,2022
35-40,1,5,9326.0,2022
26-30,0,5,3143.0,2022
50+,6,4,423.0,2022
22-25,3,5,14601.0,2022
35-40,0,14,7932.0,2022
41-49,7,5,5730.0,2022
26-30,0,4,2301.0,2022
26-30,8,5,1918.0,2022
26-30,0,13,1812.0,2022
50+,5,4,529.0,2022
50+,5,2,682.0,2022
