ssyk4,pctl_rank_genai,pctl_rank_allapps,exposure_quartile,high_exposure
2313,89.239998,81.440002,Q4 (highest),1
2314,89.720001,81.910004,Q4 (highest),1
2319,89.480003,81.209999,Q4 (highest),1
2320,48.349998,42.200001,Q2,0
2330,74.110001,71.510002,Q3,0
2341,75.769997,69.860001,Q4 (highest),1
2342,61.82,52.84,Q3,0
2343,61.580002,53.07,Q3,0
2351,60.169998,48.349998,Q3,0
2352,85.220001,79.309998,Q4 (highest),1
2359,71.75,66.309998,Q3,0
2411,96.809998,97.989998,Q4 (highest),1
2412,96.57,97.75,Q4 (highest),1
2413,95.629997,95.860001,Q4 (highest),1
2414,98.230003,98.459999,Q4 (highest),1
2415,99.169998,96.809998,Q4 (highest),1
2419,87.830002,88.300003,Q4 (highest),1
2421,95.389999,92.550003,Q4 (highest),1
2422,93.970001,91.610001,Q4 (highest),1
2423,81.68,76.709999,Q4 (highest),1
2431,92.790001,87.589996,Q4 (highest),1
2432,80.970001,75.529999,Q4 (highest),1
2511,97.279999,95.629997,Q4 (highest),1
2512,98.940002,99.169998,Q4 (highest),1
2513,97.989998,98.940002,Q4 (highest),1
2514,97.519997,96.57,Q4 (highest),1
2515,82.860001,89.239998,Q4 (highest),1
2516,96.099998,97.040001,Q4 (highest),1
2519,95.860001,97.279999,Q4 (highest),1
2611,79.309998,65.599998,Q4 (highest),1
2612,87.120003,88.769997,Q4 (highest),1
2613,79.550003,65.370003,Q4 (highest),1
2614,77.419998,68.68,Q4 (highest),1
2615,77.190002,68.199997,Q4 (highest),1
2619,77.660004,68.440002,Q4 (highest),1
2621,88.300003,86.410004,Q4 (highest),1
2622,81.910004,83.330002,Q4 (highest),1
2623,97.040001,93.260002,Q4 (highest),1
2641,99.879997,99.410004,Q4 (highest),1
2642,93.5,90.43,Q4 (highest),1
2643,86.410004,86.639999,Q4 (highest),1
2651,40.07,45.740002,Q2,0
2652,63.0,70.57,Q3,0
2653,2.01,0.12,Q1 (lowest),0
2654,79.790001,78.610001,Q4 (highest),1
2655,69.150002,60.869999,Q3,0
2661,56.860001,47.16,Q3,0
2662,53.07,43.849998,Q3,0
2663,45.98,38.650002,Q2,0
2669,52.599998,43.619999,Q3,0
2671,62.290001,45.27,Q3,0
2672,52.84,44.09,Q3,0
3111,72.459999,76.480003,Q3,0
3112,57.799999,70.330002,Q3,0
3113,50.0,64.889999,Q2,0
