year,unit,age_band,metric,n,share,value
2018,employers,total,employers,29553.0,1.0,
2017,incumbents,31-34,resolved,4173.0,0.9995209580838323,
2017,incumbents,31-34,four_digit_available,4165.0,0.9976047904191617,
2017,incumbents,31-34,three_digit_available,4172.0,0.9992814371257485,
2017,incumbents,31-34,scored_four_digit,4165.0,0.9976047904191617,
2017,incumbents,31-34,scored_three_digit,7.0,0.0016766467065868263,
2017,incumbents,31-34,unscored,,,
2017,incumbents,31-34,scored_uniform3,4172.0,0.9992814371257485,
2017,incumbents,31-34,unscored_uniform3,,,
2017,incumbents,31-34,scored_mixed43,4172.0,0.9992814371257485,
2017,incumbents,31-34,unscored_mixed43,,,
2017,incumbents,31-34,scored_four_only,4165.0,0.9976047904191617,
2017,incumbents,31-34,unscored_four_only,10.0,0.0023952095808383233,
2017,incumbents,31-34,incumbents,4175.0,1.0,
2017,incumbents,35-40,resolved,5150.0,0.9994178148651272,
2017,incumbents,35-40,four_digit_available,5139.0,0.9972831360372598,
2017,incumbents,35-40,three_digit_available,5153.0,1.0,
2017,incumbents,35-40,scored_four_digit,5139.0,0.9972831360372598,
2017,incumbents,35-40,scored_three_digit,14.0,0.0027168639627401514,
2017,incumbents,35-40,unscored,0.0,0.0,
2017,incumbents,35-40,scored_uniform3,5153.0,1.0,
2017,incumbents,35-40,unscored_uniform3,0.0,0.0,
2017,incumbents,35-40,scored_mixed43,5153.0,1.0,
2017,incumbents,35-40,unscored_mixed43,0.0,0.0,
2017,incumbents,35-40,scored_four_only,5139.0,0.9972831360372598,
2017,incumbents,35-40,unscored_four_only,14.0,0.0027168639627401514,
2017,incumbents,35-40,incumbents,5153.0,1.0,
2017,incumbents,41-49,resolved,6629.0,1.0,
2017,incumbents,41-49,four_digit_available,6612.0,0.9974355106350883,
2017,incumbents,41-49,three_digit_available,6627.0,0.9996982953688339,
2017,incumbents,41-49,scored_four_digit,6612.0,0.9974355106350883,
2017,incumbents,41-49,scored_three_digit,15.0,0.002262784733745663,
2017,incumbents,41-49,unscored,,,
2017,incumbents,41-49,scored_uniform3,6627.0,0.9996982953688339,
2017,incumbents,41-49,unscored_uniform3,,,
2017,incumbents,41-49,scored_mixed43,6627.0,0.9996982953688339,
2017,incumbents,41-49,unscored_mixed43,,,
2017,incumbents,41-49,scored_four_only,6612.0,0.9974355106350883,
2017,incumbents,41-49,unscored_four_only,17.0,0.0025644893649117515,
2017,incumbents,41-49,incumbents,6629.0,1.0,
2017,incumbents,50+,resolved,12049.0,0.9999170124481328,
2017,incumbents,50+,four_digit_available,12016.0,0.9971784232365145,
2017,incumbents,50+,three_digit_available,12049.0,0.9999170124481328,
2017,incumbents,50+,scored_four_digit,12016.0,0.9971784232365145,
2017,incumbents,50+,scored_three_digit,33.0,0.0027385892116182572,
2017,incumbents,50+,unscored,,,
2017,incumbents,50+,scored_uniform3,12049.0,0.9999170124481328,
2017,incumbents,50+,unscored_uniform3,,,
2017,incumbents,50+,scored_mixed43,12049.0,0.9999170124481328,
2017,incumbents,50+,unscored_mixed43,,,
