year_month,age_group,exposure_quartile,n_emp,share_of_coded
2019-09,35-40,4,192438,0.30839571344093003
2019-09,41-49,1,187170,0.18812700205947655
2019-09,41-49,2,279633,0.28106276629212806
2019-09,41-49,3,214599,0.2156962468075098
2019-09,41-49,4,313511,0.3151139848408856
2019-09,50+,1,376904,0.21877332677039665
2019-09,50+,2,512124,0.297261560500718
2019-09,50+,3,366651,0.21282198924313012
2019-09,50+,4,467127,0.2711431234857552
2019-10,22-25,1,95301,0.2844322010881731
2019-10,22-25,2,154108,0.45994562119281196
2019-10,22-25,3,37579,0.11215703596701457
2019-10,22-25,4,48069,0.1434651417520004
2019-10,26-30,1,129667,0.23327612386030813
2019-10,26-30,2,201693,0.36285378122233974
2019-10,26-30,3,86085,0.15487036117527686
2019-10,26-30,4,138407,0.24899973374207524
2019-10,31-34,1,90373,0.20877244858828584
2019-10,31-34,2,140874,0.3254358040833676
2019-10,31-34,3,77796,0.17971807299054238
2019-10,31-34,4,123835,0.2860736743378042
2019-10,35-40,1,120256,0.19321585110348463
2019-10,35-40,2,186123,0.29904465353025106
2019-10,35-40,3,123874,0.19902890782657875
2019-10,35-40,4,192139,0.3087105875396856
2019-10,41-49,1,187123,0.18800568669905204
2019-10,41-49,2,279067,0.2803834000632972
2019-10,41-49,3,214594,0.21560627144443162
2019-10,41-49,4,314521,0.3160046417932192
2019-10,50+,1,377606,0.21816986357089166
2019-10,50+,2,512560,0.2961423951735307
2019-10,50+,3,369083,0.2132455198178403
2019-10,50+,4,471540,0.27244222143773733
2019-11,22-25,1,95384,0.2844854840345257
2019-11,22-25,2,154449,0.4606485209641918
2019-11,22-25,3,37730,0.11253079460520272
2019-11,22-25,4,47723,0.14233520039607978
2019-11,26-30,1,128807,0.23218048528131427
2019-11,26-30,2,201717,0.36360408168415437
2019-11,26-30,3,86139,0.1552694715477197
2019-11,26-30,4,138108,0.24894596148681167
2019-11,31-34,1,90099,0.20815726791131153
2019-11,31-34,2,141229,0.3262837855009114
2019-11,31-34,3,77817,0.17978195226422636
2019-11,31-34,4,123696,0.2857769943235507
2019-11,35-40,1,119721,0.19265062974602576
2019-11,35-40,2,186066,0.29941056351286766
2019-11,35-40,3,123929,0.19942198857172283
2019-11,35-40,4,191725,0.30851681816938376
2019-11,41-49,1,186418,0.18741825120669012
2019-11,41-49,2,279645,0.2811454733914904
2019-11,41-49,3,214916,0.21606916111285934
2019-11,41-49,4,313684,0.3153671142889602
2019-11,50+,1,376041,0.2173028148625854
2019-11,50+,2,513376,0.2966645921133457
2019-11,50+,3,370302,0.21398641889912295
2019-11,50+,4,470774,0.2720461741249459
2019-12,22-25,1,94404,0.2816264431252051
2019-12,22-25,2,154882,0.46204468840428387
