year_month,age_group,n_emp,source
2021-08,41-49,1044499,headline
2021-08,50+,1884878,headline
2021-09,22-25,391322,headline
2021-09,26-30,616786,headline
2021-09,31-34,515183,headline
2021-09,35-40,697650,headline
2021-09,41-49,1060767,headline
2021-09,50+,1914092,headline
2021-10,22-25,355721,headline
2021-10,26-30,600820,headline
2021-10,31-34,510361,headline
2021-10,35-40,696567,headline
2021-10,41-49,1063936,headline
2021-10,50+,1927065,headline
2021-11,22-25,357660,headline
2021-11,26-30,603070,headline
2021-11,31-34,512315,headline
2021-11,35-40,699934,headline
2021-11,41-49,1066961,headline
2021-11,50+,1930185,headline
2021-12,22-25,365072,headline
2021-12,26-30,611485,headline
2021-12,31-34,519459,headline
2021-12,35-40,710725,headline
2021-12,41-49,1086015,headline
2021-12,50+,1978407,headline
2022-01,22-25,352017,rebuilt
2022-01,26-30,574057,rebuilt
2022-01,31-34,524352,rebuilt
2022-01,35-40,709552,rebuilt
2022-01,41-49,1055575,rebuilt
2022-01,50+,1971904,rebuilt
2022-02,22-25,340787,rebuilt
2022-02,26-30,567105,rebuilt
2022-02,31-34,521367,rebuilt
2022-02,35-40,706468,rebuilt
2022-02,41-49,1049337,rebuilt
2022-02,50+,1955922,rebuilt
2022-03,22-25,345829,rebuilt
2022-03,26-30,572303,rebuilt
2022-03,31-34,525939,rebuilt
2022-03,35-40,713771,rebuilt
2022-03,41-49,1061078,rebuilt
2022-03,50+,1978240,rebuilt
2022-04,22-25,354222,rebuilt
2022-04,26-30,579957,rebuilt
2022-04,31-34,531081,rebuilt
2022-04,35-40,718774,rebuilt
2022-04,41-49,1066272,rebuilt
2022-04,50+,1983125,rebuilt
2022-05,22-25,368406,rebuilt
2022-05,26-30,591753,rebuilt
2022-05,31-34,539852,rebuilt
2022-05,35-40,730019,rebuilt
2022-05,41-49,1081181,rebuilt
2022-05,50+,2006698,rebuilt
2022-06,22-25,394662,rebuilt
2022-06,26-30,611154,rebuilt
2022-06,31-34,550127,rebuilt
2022-06,35-40,739655,rebuilt
2022-06,41-49,1089664,rebuilt
2022-06,50+,2018031,rebuilt
2022-07,22-25,412910,rebuilt
2022-07,26-30,606916,rebuilt
2022-07,31-34,540346,rebuilt
2022-07,35-40,725222,rebuilt
2022-07,41-49,1068657,rebuilt
2022-07,50+,1964753,rebuilt
2022-08,22-25,405358,rebuilt
2022-08,26-30,603838,rebuilt
2022-08,31-34,537782,rebuilt
2022-08,35-40,720522,rebuilt
2022-08,41-49,1059517,rebuilt
2022-08,50+,1925079,rebuilt
2022-09,22-25,410323,rebuilt
2022-09,26-30,614847,rebuilt
2022-09,31-34,548570,rebuilt
2022-09,35-40,734314,rebuilt
2022-09,41-49,1076827,rebuilt
2022-09,50+,1959946,rebuilt
2022-10,22-25,375476,rebuilt
2022-10,26-30,600315,rebuilt
2022-10,31-34,544172,rebuilt
2022-10,35-40,734507,rebuilt
2022-10,41-49,1082986,rebuilt
2022-10,50+,1981857,rebuilt
2022-11,22-25,368122,rebuilt
2022-11,26-30,594380,rebuilt
2022-11,31-34,540510,rebuilt
2022-11,35-40,731233,rebuilt
2022-11,41-49,1077417,rebuilt
2022-11,50+,1968416,rebuilt
2022-12,22-25,372652,rebuilt
2022-12,26-30,599793,rebuilt
2022-12,31-34,545658,rebuilt
2022-12,35-40,738880,rebuilt
2022-12,41-49,1093045,rebuilt
2022-12,50+,2011468,rebuilt
2022-01,22-25,352017,headline
2022-01,26-30,574057,headline
2022-01,31-34,524352,headline
2022-01,35-40,709552,headline
2022-01,41-49,1055567,headline
2022-01,50+,1971900,headline
2022-02,22-25,340787,headline
2022-02,26-30,567105,headline
2022-02,31-34,521367,headline
2022-02,35-40,706468,headline
2022-02,41-49,1049330,headline
2022-02,50+,1955917,headline
2022-03,22-25,345829,headline
2022-03,26-30,572303,headline
2022-03,31-34,525939,headline
2022-03,35-40,713771,headline
2022-03,41-49,1061070,headline
2022-03,50+,1978235,headline
2022-04,22-25,354222,headline
2022-04,26-30,579957,headline
2022-04,31-34,531081,headline
2022-04,35-40,718774,headline
2022-04,41-49,1066264,headline
2022-04,50+,1983119,headline
2022-05,22-25,368406,headline
2022-05,26-30,591753,headline
2022-05,31-34,539852,headline
2022-05,35-40,730019,headline
2022-05,41-49,1081175,headline
2022-05,50+,2006692,headline
2022-06,22-25,394662,headline
2022-06,26-30,611154,headline
2022-06,31-34,550127,headline
2022-06,35-40,739655,headline
2022-06,41-49,1089662,headline
2022-06,50+,2018032,headline
2022-07,22-25,412910,headline
2022-07,26-30,606916,headline
2022-07,31-34,540346,headline
2022-07,35-40,725222,headline
2022-07,41-49,1068650,headline
2022-07,50+,1964749,headline
2022-08,22-25,405358,headline
2022-08,26-30,603838,headline
2022-08,31-34,537782,headline
2022-08,35-40,720522,headline
2022-08,41-49,1059509,headline
2022-08,50+,1925075,headline
2022-09,22-25,410323,headline
2022-09,26-30,614847,headline
2022-09,31-34,548570,headline
2022-09,35-40,734314,headline
2022-09,41-49,1076819,headline
2022-09,50+,1959942,headline
2022-10,22-25,375476,headline
2022-10,26-30,600315,headline
2022-10,31-34,544172,headline
2022-10,35-40,734507,headline
2022-10,41-49,1082978,headline
2022-10,50+,1981851,headline
2022-11,22-25,368122,headline
2022-11,26-30,594380,headline
2022-11,31-34,540510,headline
2022-11,35-40,731233,headline
2022-11,41-49,1077409,headline
2022-11,50+,1968412,headline
2022-12,22-25,372652,headline
2022-12,26-30,599793,headline
2022-12,31-34,545658,headline
2022-12,35-40,738880,headline
2022-12,41-49,1093038,headline
2022-12,50+,2011463,headline
2023-01,22-25,364491,rebuilt
2023-01,26-30,562676,rebuilt
2023-01,31-34,542649,rebuilt
2023-01,35-40,745408,rebuilt
2023-01,41-49,1069816,rebuilt
2023-01,50+,2051005,rebuilt
2023-02,22-25,347234,rebuilt
2023-02,26-30,552080,rebuilt
2023-02,31-34,537660,rebuilt
2023-02,35-40,740150,rebuilt
2023-02,41-49,1062901,rebuilt
2023-02,50+,2036865,rebuilt
2023-03,22-25,351265,rebuilt
2023-03,26-30,556011,rebuilt
2023-03,31-34,541079,rebuilt
2023-03,35-40,744576,rebuilt
2023-03,41-49,1069992,rebuilt
2023-03,50+,2052304,rebuilt
2023-04,22-25,359651,rebuilt
2023-04,26-30,560007,rebuilt
2023-04,31-34,543074,rebuilt
2023-04,35-40,746547,rebuilt
2023-04,41-49,1071657,rebuilt
2023-04,50+,2055357,rebuilt
2023-05,22-25,365579,rebuilt
2023-05,26-30,567590,rebuilt
2023-05,31-34,549746,rebuilt
2023-05,35-40,754032,rebuilt
2023-05,41-49,1082487,rebuilt
2023-05,50+,2075424,rebuilt
2023-06,22-25,393245,rebuilt
2023-06,26-30,585230,rebuilt
2023-06,31-34,558801,rebuilt
2023-06,35-40,763235,rebuilt
2023-06,41-49,1089894,rebuilt
2023-06,50+,2086602,rebuilt
2023-07,22-25,410083,rebuilt
2023-07,26-30,580989,rebuilt
2023-07,31-34,549948,rebuilt
2023-07,35-40,749722,rebuilt
2023-07,41-49,1070562,rebuilt
2023-07,50+,2035654,rebuilt
2023-08,22-25,401658,rebuilt
2023-08,26-30,574621,rebuilt
2023-08,31-34,543947,rebuilt
2023-08,35-40,741428,rebuilt
2023-08,41-49,1057647,rebuilt
2023-08,50+,1993145,rebuilt
2023-09,22-25,405110,rebuilt
2023-09,26-30,583321,rebuilt
2023-09,31-34,552777,rebuilt
2023-09,35-40,753972,rebuilt
2023-09,41-49,1074783,rebuilt
2023-09,50+,2029280,rebuilt
2023-10,22-25,368951,rebuilt
2023-10,26-30,568384,rebuilt
2023-10,31-34,547446,rebuilt
2023-10,35-40,751036,rebuilt
2023-10,41-49,1075097,rebuilt
2023-10,50+,2037468,rebuilt
2023-11,22-25,362326,rebuilt
2023-11,26-30,563521,rebuilt
2023-11,31-34,544092,rebuilt
2023-11,35-40,748232,rebuilt
2023-11,41-49,1071486,rebuilt
2023-11,50+,2036073,rebuilt
2023-12,22-25,365650,rebuilt
2023-12,26-30,566812,rebuilt
2023-12,31-34,547803,rebuilt
2023-12,35-40,753911,rebuilt
2023-12,41-49,1084021,rebuilt
2023-12,50+,2071137,rebuilt
2023-01,22-25,364491,headline
2023-01,26-30,562676,headline
2023-01,31-34,542649,headline
2023-01,35-40,745408,headline
2023-01,41-49,1069816,headline
