age_group,year_month,halfyear,share_q1,share_q2,share_q3,share_q4,n_emp_total_age
31-34,2021-09,2021H2,0.21805628490953358,0.31831925017106666,0.17886809567002435,0.2847563692493754,502728
31-34,2021-10,2021H2,0.21852750223251996,0.316700053902284,0.17930755677841334,0.2854648870867827,497196
31-34,2021-11,2021H2,0.21951810947247757,0.3161206670233851,0.17847144148314706,0.2858897820209903,498993
31-34,2021-12,2021H2,0.21880869677087353,0.31623469801779336,0.17903393403200427,0.28592267117932885,505245
31-34,2022-01,2022H1,0.21463183481836604,0.3119956539497111,0.17944905088764904,0.2939234603442738,504366
31-34,2022-02,2022H1,0.2127107857164001,0.3125953407599633,0.17926924329284538,0.29542463023079124,506735
31-34,2022-03,2022H1,0.21459313578925834,0.3119639794168096,0.1794380537240153,0.29400483106991676,508376
31-34,2022-04,2022H1,0.2160293377714131,0.312602082285095,0.17818245152300963,0.29318612842048225,516740
31-34,2022-05,2022H1,0.21652738594823595,0.3133692345497458,0.17791865650460323,0.29218472299741505,524959
31-34,2022-06,2022H1,0.21743513675183412,0.3143847984361635,0.1759111043197442,0.29226896049225815,536629
31-34,2022-07,2022H2,0.21882975760320292,0.3171470202038384,0.17526161914921434,0.2887616030437444,527771
31-34,2022-08,2022H2,0.2173547959603345,0.31439740133132266,0.1770476321040686,0.2912001706042742,525192
31-34,2022-09,2022H2,0.21638474877789904,0.3146723124990657,0.17729807304202233,0.29164486568101294,535144
31-34,2022-10,2022H2,0.21582610270945535,0.31341782375519417,0.17804507078400217,0.2927110027513483,529922
31-34,2022-11,2022H2,0.21654330315530892,0.31314841778940433,0.17796238536115863,0.2923458936941281,526763
31-34,2022-12,2022H2,0.21506753346541216,0.3128761798582287,0.17861904797776254,0.2934372386985966,530996
31-34,2023-01,2023H1,0.20910638526807673,0.30584611719134286,0.18046567572552877,0.30458182181505167,520448
31-34,2023-02,2023H1,0.20784681040163042,0.30635429595917807,0.17995793683629843,0.3058409568028931,522072
31-34,2023-03,2023H1,0.20876823524907148,0.3062105142244515,0.17965501397557146,0.30536623655090556,522340
31-34,2023-04,2023H1,0.2094331532133208,0.3075289912267387,0.17878555599404997,0.3042522995658905,527056
31-34,2023-05,2023H1,0.2105466776594406,0.3078815559908427,0.17918534530519034,0.30238642104452634,532471
31-34,2023-06,2023H1,0.2104410484127817,0.31039631210844226,0.17864329332839946,0.30051934615037657,543183
31-34,2023-07,2023H2,0.21213004375394665,0.3117478038956332,0.17741459386547997,0.2987075584849402,535266
31-34,2023-08,2023H2,0.21088758246807643,0.30931035982459754,0.17853381262042844,0.3012682450868976,528841
31-34,2023-09,2023H2,0.20992931578800325,0.3103493234245057,0.17892139058847634,0.3007999701990147,536895
31-34,2023-10,2023H2,0.20941227924653505,0.309088783989624,0.17923824030645333,0.3022606964573876,530456
31-34,2023-11,2023H2,0.20929905752282132,0.308600033042722,0.17962897201053568,0.30247193742392103,526591
31-34,2023-12,2023H2,0.20789327509134947,0.3074424791133716,0.18113836375796827,0.3035258820373106,529286
31-34,2024-01,2024H1,0.253807235803876,0.2818627163046415,0.1869843246439466,0.2773457232475359,510738
31-34,2024-02,2024H1,0.24935770905786886,0.28436452360810854,0.187456919509979,0.2788208478240436,510672
31-34,2024-03,2024H1,0.2494610844157371,0.2856781713712364,0.18624334684215066,0.2786173973708758,510284
31-34,2024-04,2024H1,0.24531969011513893,0.2781546706017125,0.19366250509679048,0.28286313418635806,515030
31-34,2024-05,2024H1,0.2442880963658699,0.2775736780692938,0.19487286128536604,0.28326536427947024,519354
31-34,2024-06,2024H1,0.2325480414068712,0.26667092740639375,0.21007577224341104,0.290705258943324,531989
31-34,2024-07,2024H2,0.24550214475516838,0.2680417111295455,0.20434277000063222,0.28211337411465387,521971
31-34,2024-08,2024H2,0.2473284398399199,0.27543756137892483,0.19478419849313527,0.28244980028802,515242
31-34,2024-09,2024H2,0.24608220496254038,0.2781424458343834,0.19541434691960502,0.28036100228347116,523764
31-34,2024-10,2024H2,0.24296749406582438,0.2719757951408436,0.20176003683348132,0.28329667395985075,516921
31-34,2024-11,2024H2,0.2429638866428314,0.27143956589932683,0.201582090424651,0.2840144570331908,513245
31-34,2024-12,2024H2,0.24034493295119186,0.2682107038287635,0.20614365888846342,0.2853007043315812,517086
31-34,2025-01,2025H1,0.2423461959619904,0.26550753999663707,0.201863570558538,0.2902826934828346,487666
31-34,2025-02,2025H1,0.2400418341399393,0.2727790993355754,0.19829382331227954,0.2888852432122057,487640
31-34,2025-03,2025H1,0.24309343366773561,0.27660844472071167,0.19508194021924824,0.2852161813923045,485842
31-34,2025-04,2025H1,0.23859854240588577,0.2708261193695437,0.20251718111564204,0.28805815710892846,490946
31-34,2025-05,2025H1,0.23689652943837652,0.26326302268467655,0.2100756155884444,0.2897648322885025,495136
31-34,2025-06,2025H1,0.22346563499083036,0.25543235241395207,0.22463966528317572,0.2964623473120419,507653
35-40,2019-01,2019H1,0.20826477837864688,0.29388189714583735,0.19575569808087517,0.3020976263946406,644252
35-40,2019-02,2019H1,0.2071746758694856,0.2948100489343982,0.1956433397765427,0.30237193541957347,647193
35-40,2019-03,2019H1,0.20796510642232943,0.2941232680363115,0.19593576129340506,0.30197586424795403,648830
35-40,2019-04,2019H1,0.2091011675699712,0.29491078376579766,0.1952767248954182,0.30071132376881293,656663
35-40,2019-05,2019H1,0.2102368425425339,0.29439079397161033,0.19497553629073067,0.30039682719512506,662001
35-40,2019-06,2019H1,0.21015096924038948,0.2951597534466843,0.19434386445523033,0.30034541285769584,671660
35-40,2019-07,2019H2,0.21267455166303723,0.2969745138235647,0.19247374411702578,0.2978771903963723,658043
35-40,2019-08,2019H2,0.2108572648824201,0.2952103103458341,0.19364928662398856,0.30028313814775726,650919
35-40,2019-09,2019H2,0.21096788691270663,0.2955752319161226,0.1940011733425029,0.29945570782866787,663063
35-40,2019-10,2019H2,0.21130474800627336,0.29457197701386073,0.19424680428477137,0.29987647069509454,660572
35-40,2019-11,2019H2,0.21086740762627754,0.294582206362555,0.19471479116000334,0.2998355948511641,659955
