ssyk4,year_month,n_ads
1340,2023-12,29
1340,2024-01,22
1340,2024-02,16
1340,2024-03,27
1340,2024-04,21
1340,2024-05,15
1340,2024-06,8
1340,2024-07,19
1340,2024-08,15
1340,2024-09,16
1340,2024-10,19
1340,2024-11,17
1340,2024-12,26
1340,2025-01,20
1340,2025-02,15
1340,2025-03,23
1340,2025-04,16
1340,2025-05,17
1340,2025-06,17
1340,2025-07,16
1340,2025-08,15
1340,2025-09,20
1340,2025-10,16
1340,2025-11,14
1340,2025-12,19
1350,2020-01,39
1350,2020-02,43
1350,2020-03,44
1350,2020-04,30
1350,2020-05,23
1350,2020-06,19
1350,2020-07,20
1350,2020-08,15
1350,2020-09,27
1350,2020-10,54
1350,2020-11,32
1350,2020-12,37
1350,2021-01,11
1350,2021-02,22
1350,2021-03,31
1350,2021-04,29
1350,2021-05,47
1350,2021-06,36
1350,2021-07,13
1350,2021-08,24
1350,2021-09,46
1350,2021-10,42
1350,2021-11,30
1350,2021-12,67
1350,2022-01,43
1350,2022-02,42
1350,2022-03,74
1350,2022-04,43
1350,2022-05,47
1350,2022-06,45
1350,2022-07,27
1350,2022-08,28
1350,2022-09,61
1350,2022-10,51
1350,2022-11,45
1350,2022-12,45
1350,2023-01,42
1350,2023-02,35
1350,2023-03,52
1350,2023-04,26
1350,2023-05,52
1350,2023-06,46
1350,2023-07,32
1350,2023-08,27
1350,2023-09,43
1350,2023-10,44
1350,2023-11,46
1350,2023-12,33
1350,2024-01,29
1350,2024-02,33
1350,2024-03,38
1350,2024-04,31
1350,2024-05,33
1350,2024-06,27
1350,2024-07,16
1350,2024-08,35
1350,2024-09,48
1350,2024-10,56
1350,2024-11,53
1350,2024-12,64
1350,2025-01,41
1350,2025-02,51
1350,2025-03,40
1350,2025-04,52
1350,2025-05,33
1350,2025-06,44
1350,2025-07,35
1350,2025-08,23
1350,2025-09,41
1350,2025-10,62
1350,2025-11,46
1350,2025-12,43
1360,2020-01,91
1360,2020-02,119
1360,2020-03,125
1360,2020-04,94
1360,2020-05,72
1360,2020-06,87
1360,2020-07,54
1360,2020-08,45
1360,2020-09,73
1360,2020-10,90
1360,2020-11,85
1360,2020-12,64
1360,2021-01,72
1360,2021-02,72
1360,2021-03,104
1360,2021-04,113
1360,2021-05,102
1360,2021-06,121
1360,2021-07,118
1360,2021-08,74
1360,2021-09,127
1360,2021-10,106
1360,2021-11,124
1360,2021-12,184
1360,2022-01,165
1360,2022-02,153
1360,2022-03,179
1360,2022-04,166
1360,2022-05,152
1360,2022-06,147
1360,2022-07,98
1360,2022-08,116
1360,2022-09,125
1360,2022-10,127
1360,2022-11,145
1360,2022-12,168
1360,2023-01,131
1360,2023-02,111
1360,2023-03,214
1360,2023-04,89
1360,2023-05,119
1360,2023-06,128
1360,2023-07,74
1360,2023-08,109
1360,2023-09,107
1360,2023-10,97
1360,2023-11,106
1360,2023-12,92
1360,2024-01,105
1360,2024-02,125
1360,2024-03,118
1360,2024-04,127
1360,2024-05,136
1360,2024-06,127
1360,2024-07,81
1360,2024-08,68
1360,2024-09,96
1360,2024-10,117
1360,2024-11,131
1360,2024-12,94
1360,2025-01,90
1360,2025-02,115
1360,2025-03,103
1360,2025-04,120
1360,2025-05,104
1360,2025-06,94
1360,2025-07,109
1360,2025-08,75
1360,2025-09,125
1360,2025-10,115
1360,2025-11,119
1360,2025-12,123
1370,2020-01,123
1370,2020-02,115
1370,2020-03,127
1370,2020-04,81
1370,2020-05,59
1370,2020-06,79
1370,2020-07,51
1370,2020-08,66
1370,2020-09,100
1370,2020-10,109
1370,2020-11,95
1370,2020-12,107
1370,2021-01,113
1370,2021-02,145
1370,2021-03,162
1370,2021-04,145
1370,2021-05,152
1370,2021-06,163
1370,2021-07,142
1370,2021-08,137
1370,2021-09,161
1370,2021-10,176
1370,2021-11,200
1370,2021-12,236
1370,2022-01,224
1370,2022-02,263
1370,2022-03,279
1370,2022-04,192
1370,2022-05,230
1370,2022-06,213
1370,2022-07,179
1370,2022-08,180
1370,2022-09,250
1370,2022-10,235
1370,2022-11,242
1370,2022-12,250
1370,2023-01,202
1370,2023-02,237
1370,2023-03,258
1370,2023-04,214
1370,2023-05,235
1370,2023-06,216
1370,2023-07,227
1370,2023-08,232
1370,2023-09,229
1370,2023-10,232
1370,2023-11,245
1370,2023-12,303
1370,2024-01,236
1370,2024-02,276
1370,2024-03,249
1370,2024-04,212
1370,2024-05,203
1370,2024-06,172
1370,2024-07,137
1370,2024-08,147
1370,2024-09,192
1370,2024-10,199
1370,2024-11,261
1370,2024-12,203
1370,2025-01,200
1370,2025-02,187
1370,2025-03,182
1370,2025-04,218
1370,2025-05,191
1370,2025-06,163
1370,2025-07,130
1370,2025-08,135
1370,2025-09,161
1370,2025-10,185
1370,2025-11,154
