ssyk4,year_month,n_ads
2414,2026-02,2
8214,2026-01,21
3321,2026-01,33
2132,2026-01,9
1540,2026-02,1
3431,2026-01,10
8193,2026-01,19
5325,2026-02,5
3514,2026-01,70
2235,2026-01,35
2133,2026-01,21
3341,2026-01,31
2122,2026-01,14
7224,2026-01,8
2319,2026-01,18
2311,2026-01,6
2283,2026-01,35
3312,2026-01,29
2672,2026-01,10
2671,2026-01,15
2652,2026-01,15
9310,2026-01,70
3352,2026-01,28
2212,2026-01,75
5411,2026-01,32
7116,2026-01,11
3153,2026-01,5
4113,2026-01,67
4323,2026-01,93
6210,2026-01,22
2222,2026-01,58
8141,2026-01,8
5349,2026-01,23
3522,2026-01,19
9320,2026-01,10
5225,2026-01,43
2234,2026-01,5
2164,2026-01,13
3215,2026-01,40
2162,2026-01,12
3515,2026-01,6
9210,2026-01,17
8159,2026-01,8
8341,2026-01,17
8163,2026-01,16
2226,2026-01,72
8311,2026-01,6
2623,2026-01,25
2163,2026-01,10
3151,2026-01,4
4410,2026-01,18
8174,2026-01,14
9621,2026-01,27
1310,2026-01,35
2655,2026-01,5
2112,2026-01,4
2414,2026-01,5
2621,2026-01,9
1740,2026-01,13
0310,2026-01,17
5144,2026-01,12
2135,2026-01,23
4116,2026-01,21
8131,2026-01,33
5227,2026-01,17
2172,2026-01,18
2239,2026-01,25
5112,2026-01,6
8192,2026-01,15
1610,2026-01,3
2114,2026-01,4
1420,2026-01,6
3441,2026-01,54
7115,2026-01,3
3332,2026-01,5
9332,2026-01,54
1113,2026-01,8
7124,2026-01,12
2179,2026-01,21
2415,2026-01,5
8181,2026-01,6
8161,2026-01,17
7521,2026-01,4
8219,2026-01,12
5326,2026-01,12
2654,2026-01,13
2513,2026-01,15
4321,2026-01,24
8171,2026-01,5
2213,2026-01,22
2171,2026-01,5
3521,2026-01,11
7319,2026-01,8
2146,2026-01,22
2145,2026-01,21
1380,2026-01,3
6121,2026-01,20
7531,2026-01,11
2651,2026-01,6
7533,2026-01,5
6129,2026-01,12
3154,2026-01,5
8111,2026-01,6
2641,2026-01,3
2669,2026-01,10
7221,2026-01,8
8162,2026-01,14
1790,2026-01,5
8312,2026-01,1
4211,2026-01,28
3424,2026-01,12
5161,2026-01,8
2653,2026-01,1
5169,2026-01,13
1490,2026-01,4
2161,2026-01,7
3240,2026-01,16
3353,2026-01,8
7534,2026-01,2
6111,2026-01,14
2643,2026-01,18
3351,2026-01,10
1710,2026-01,7
9331,2026-01,5
8113,2026-01,10
6130,2026-01,6
8112,2026-01,2
7211,2026-01,4
5224,2026-01,2
1540,2026-01,1
9520,2026-01,57
3334,2026-01,3
7323,2026-01,2
2613,2026-01,3
7215,2026-01,9
5325,2026-01,2
8343,2026-01,7
1112,2026-01,4
8122,2026-01,1
7321,2026-01,5
7532,2026-01,3
7133,2026-01,1
8189,2026-01,1
5111,2026-01,1
8115,2026-01,1
3311,2026-01,1
3421,2026-01,2
6221,2026-01,1
7312,2026-01,1
3412,2026-01,1
8321,2026-06,176
2615,2026-06,41
3411,2026-06,351
2221,2026-06,2028
2233,2026-06,98
9111,2026-06,732
2421,2026-06,466
2432,2026-06,194
1410,2026-06,171
2515,2026-06,208
1510,2026-06,183
2422,2026-06,475
5321,2026-06,805
1290,2026-06,115
5343,2026-06,2069
3359,2026-06,213
7231,2026-06,673
2341,2026-06,2208
7223,2026-06,528
3112,2026-06,505
7111,2026-06,278
3323,2026-06,336
2621,2026-06,14
3449,2026-06,102
2342,2026-06,386
6113,2026-06,84
3431,2026-06,16
2330,2026-06,529
4116,2026-06,25
2359,2026-06,213
1520,2026-06,114
9412,2026-06,616
5131,2026-06,288
7111,2026-05,303
7233,2026-06,312
3313,2026-06,244
4222,2026-06,410
8212,2026-06,248
2411,2026-06,26
3111,2026-06,153
9622,2026-06,40
7212,2026-06,209
5350,2026-06,211
8332,2026-06,993
4322,2026-06,737
3114,2026-06,725
8173,2026-06,24
7412,2026-06,119
3433,2026-06,32
2661,2026-06,609
1250,2026-06,198
7114,2026-06,229
3152,2026-06,13
2141,2026-06,155
5120,2026-06,582
3511,2026-06,169
2319,2026-06,62
2281,2026-06,57
8344,2026-06,306
5312,2026-06,447
7126,2026-06,39
4222,2026-05,445
3339,2026-06,195
5342,2026-06,379
5223,2026-06,578
3513,2026-06,95
1790,2026-06,13
3113,2026-06,446
7231,2026-04,585
9331,2026-06,4
3339,2026-04,263
5311,2026-06,248
1230,2026-06,311
3116,2026-06,55
2211,2026-06,411
4225,2026-05,190
8213,2026-06,279
2431,2026-06,269
5132,2026-06,100
5222,2026-06,447
2512,2026-06,1324
9310,2026-06,88
8213,2026-05,197
9332,2026-06,54
2179,2026-06,23
2314,2026-06,230
8342,2026-06,151
2212,2026-06,83
3331,2026-06,78
5141,2026-06,64
2351,2026-06,454
2143,2026-06,313
9120,2026-06,111
2313,2026-06,165
9621,2026-06,27
2343,2026-06,262
7411,2026-06,230
5152,2026-06,271
3122,2026-06,36
4119,2026-06,403
3322,2026-06,1512
8211,2026-06,96
7121,2026-06,33
3121,2026-06,111
2142,2026-06,141
3333,2026-06,309
2272,2026-06,234
2224,2026-06,186
5323,2026-06,266
7420,2026-06,153
2511,2026-06,321
2423,2026-06,395
1360,2026-06,134
5143,2026-06,31
4112,2026-06,236
2514,2026-06,161
7134,2026-06,51
3355,2026-06,55
7231,2026-05,611
1120,2026-06,62
8329,2026-06,187
1790,2026-05,4
2182,2026-06,52
0210,2026-06,39
4225,2026-06,178
1111,2026-06,5
3422,2026-06,193
1740,2026-06,13
2320,2026-06,186
4111,2026-06,180
2622,2026-06,74
7413,2026-06,63
3341,2026-06,37
2422,2026-05,494
1210,2026-06,141
3522,2026-06,20
7112,2026-06,58
4224,2026-06,157
7125,2026-06,193
3441,2026-06,30
2662,2026-06,210
2234,2026-06,13
7214,2026-06,69
1730,2026-06,160
7531,2026-06,9
2519,2026-06,144
1113,2026-06,23
9119,2026-06,334
2144,2026-06,321
9629,2026-06,31
