ssyk4,year_month,n_ads,n_vacancies
1350,2026-01,26,26
8211,2026-01,77,188
3452,2026-01,11,13
8143,2026-01,14,230
1490,2026-02,1,1
1330,2026-01,28,29
4420,2026-01,54,102
3155,2026-01,14,15
3355,2026-01,50,61
8342,2026-01,53,86
7523,2026-01,18,32
8121,2026-01,13,14
3117,2026-01,32,34
4212,2026-01,6,8
2134,2026-01,26,28
4223,2026-01,17,32
3432,2026-01,16,16
7612,2026-01,50,64
3331,2026-01,30,36
7122,2026-01,10,15
5151,2026-01,34,47
2242,2026-01,12,15
2519,2026-01,87,93
2352,2026-01,46,51
4221,2026-01,35,64
7123,2026-01,10,32
2619,2026-01,28,70
5414,2026-01,20,75
3343,2026-01,28,29
3360,2026-01,12,17
2113,2026-01,45,52
2232,2026-01,60,67
2419,2026-01,35,49
2663,2026-01,78,135
2612,2026-01,26,39
2289,2026-02,1,1
5224,2026-02,1,1
9413,2026-01,34,82
4114,2026-01,72,82
2622,2026-01,90,100
5221,2026-01,75,85
2414,2026-02,2,2
8214,2026-01,21,60
3321,2026-01,33,44
2132,2026-01,9,57
1540,2026-02,1,1
3431,2026-01,10,17
8193,2026-01,19,30
5325,2026-02,5,41
3514,2026-01,70,70
2235,2026-01,35,52
2133,2026-01,21,21
3341,2026-01,31,31
2122,2026-01,14,24
7224,2026-01,8,8
2319,2026-01,18,20
2311,2026-01,6,6
2283,2026-01,35,45
3312,2026-01,29,32
2672,2026-01,10,11
2671,2026-01,15,17
2652,2026-01,15,27
9310,2026-01,70,204
3352,2026-01,28,319
2212,2026-01,75,96
5411,2026-01,32,92
7116,2026-01,11,58
3153,2026-01,5,7
4113,2026-01,67,118
4323,2026-01,93,191
6210,2026-01,22,86
2222,2026-01,58,81
8141,2026-01,8,14
5349,2026-01,23,30
3522,2026-01,19,42
9320,2026-01,10,61
5225,2026-01,43,48
2234,2026-01,5,5
2164,2026-01,13,14
3215,2026-01,40,170
2162,2026-01,12,12
3515,2026-01,6,6
9210,2026-01,17,101
8159,2026-01,8,14
8341,2026-01,17,46
8163,2026-01,16,97
2226,2026-01,72,182
8311,2026-01,6,8
2623,2026-01,25,30
2163,2026-01,10,10
3151,2026-01,4,5
4410,2026-01,18,23
8174,2026-01,14,91
9621,2026-01,27,81
1310,2026-01,35,35
2655,2026-01,5,39
2112,2026-01,4,4
2414,2026-01,5,6
2621,2026-01,9,33
