age_group,expband,q_t,q_t1,same_code,enters_mgr,n,year
31-34,3-5,1,3,0,1,,2019
31-34,3-5,1,4,0,0,40.0,2019
31-34,3-5,1,4,0,1,5.0,2019
31-34,3-5,2,1,0,0,108.0,2019
31-34,3-5,2,1,0,1,,2019
31-34,3-5,2,2,0,0,619.0,2019
31-34,3-5,2,2,0,1,,2019
31-34,3-5,2,2,1,0,7121.0,2019
31-34,3-5,2,3,0,0,209.0,2019
31-34,3-5,2,3,0,1,54.0,2019
31-34,3-5,2,4,0,0,198.0,2019
31-34,3-5,2,4,0,1,9.0,2019
31-34,3-5,3,1,0,0,22.0,2019
31-34,3-5,3,2,0,0,220.0,2019
31-34,3-5,3,2,0,1,7.0,2019
31-34,3-5,3,3,0,0,559.0,2019
31-34,3-5,3,3,0,1,71.0,2019
31-34,3-5,3,3,1,0,9192.0,2019
31-34,3-5,3,4,0,0,603.0,2019
31-34,3-5,3,4,0,1,31.0,2019
31-34,3-5,4,1,0,0,20.0,2019
31-34,3-5,4,2,0,0,147.0,2019
31-34,3-5,4,2,0,1,8.0,2019
31-34,3-5,4,3,0,0,520.0,2019
31-34,3-5,4,3,0,1,100.0,2019
31-34,3-5,4,4,0,0,1545.0,2019
31-34,3-5,4,4,0,1,106.0,2019
31-34,3-5,4,4,1,0,14796.0,2019
31-34,6-10,0,0,1,0,,2019
31-34,6-10,0,2,0,0,,2019
31-34,6-10,1,1,0,0,197.0,2019
31-34,6-10,1,1,0,1,,2019
31-34,6-10,1,1,1,0,3683.0,2019
31-34,6-10,1,2,0,0,267.0,2019
31-34,6-10,1,2,0,1,5.0,2019
31-34,6-10,1,3,0,0,80.0,2019
31-34,6-10,1,3,0,1,13.0,2019
31-34,6-10,1,4,0,0,63.0,2019
31-34,6-10,1,4,0,1,6.0,2019
31-34,6-10,2,0,0,0,,2019
31-34,6-10,2,1,0,0,212.0,2019
31-34,6-10,2,2,0,0,1022.0,2019
31-34,6-10,2,2,0,1,20.0,2019
31-34,6-10,2,2,1,0,12867.0,2019
31-34,6-10,2,3,0,0,382.0,2019
31-34,6-10,2,3,0,1,137.0,2019
31-34,6-10,2,4,0,0,391.0,2019
31-34,6-10,2,4,0,1,18.0,2019
31-34,6-10,3,1,0,0,61.0,2019
31-34,6-10,3,2,0,0,402.0,2019
31-34,6-10,3,2,0,1,9.0,2019
31-34,6-10,3,3,0,0,1011.0,2019
31-34,6-10,3,3,0,1,159.0,2019
31-34,6-10,3,3,1,0,17246.0,2019
31-34,6-10,3,4,0,0,1047.0,2019
31-34,6-10,3,4,0,1,67.0,2019
31-34,6-10,4,1,0,0,42.0,2019
31-34,6-10,4,1,0,1,,2019
31-34,6-10,4,2,0,0,246.0,2019
31-34,6-10,4,2,0,1,23.0,2019
31-34,6-10,4,3,0,0,875.0,2019
31-34,6-10,4,3,0,1,253.0,2019
31-34,6-10,4,4,0,0,2810.0,2019
31-34,6-10,4,4,0,1,255.0,2019
31-34,6-10,4,4,1,0,26864.0,2019
31-34,na,0,0,1,0,,2019
31-34,na,1,1,0,0,640.0,2019
31-34,na,1,1,1,0,8105.0,2019
31-34,na,1,2,0,0,486.0,2019
31-34,na,1,2,0,1,11.0,2019
31-34,na,1,3,0,0,77.0,2019
31-34,na,1,3,0,1,,2019
31-34,na,1,4,0,0,41.0,2019
31-34,na,1,4,0,1,,2019
31-34,na,2,1,0,0,488.0,2019
31-34,na,2,1,0,1,,2019
31-34,na,2,2,0,0,895.0,2019
31-34,na,2,2,0,1,10.0,2019
31-34,na,2,2,1,0,11571.0,2019
31-34,na,2,3,0,0,163.0,2019
31-34,na,2,3,0,1,13.0,2019
31-34,na,2,4,0,0,102.0,2019
31-34,na,2,4,0,1,8.0,2019
31-34,na,3,1,0,0,57.0,2019
31-34,na,3,2,0,0,160.0,2019
31-34,na,3,3,0,0,259.0,2019
31-34,na,3,3,0,1,12.0,2019
31-34,na,3,3,1,0,2428.0,2019
31-34,na,3,4,0,0,143.0,2019
31-34,na,3,4,0,1,5.0,2019
31-34,na,4,1,0,0,21.0,2019
31-34,na,4,1,0,1,,2019
31-34,na,4,2,0,0,92.0,2019
31-34,na,4,2,0,1,,2019
31-34,na,4,3,0,0,193.0,2019
31-34,na,4,3,0,1,19.0,2019
31-34,na,4,4,0,0,613.0,2019
31-34,na,4,4,0,1,42.0,2019
31-34,na,4,4,1,0,3631.0,2019
35-40,0-2,0,4,0,0,,2019
35-40,0-2,1,1,0,0,89.0,2019
35-40,0-2,1,1,1,0,1378.0,2019
35-40,0-2,1,2,0,0,214.0,2019
35-40,0-2,1,2,0,1,,2019
35-40,0-2,1,3,0,0,49.0,2019
35-40,0-2,1,3,0,1,,2019
35-40,0-2,1,4,0,0,43.0,2019
35-40,0-2,1,4,0,1,,2019
35-40,0-2,2,1,0,0,110.0,2019
35-40,0-2,2,2,0,0,536.0,2019
35-40,0-2,2,2,0,1,,2019
35-40,0-2,2,2,1,0,5850.0,2019
35-40,0-2,2,3,0,0,353.0,2019
35-40,0-2,2,3,0,1,50.0,2019
35-40,0-2,2,4,0,0,216.0,2019
35-40,0-2,2,4,0,1,,2019
35-40,0-2,3,1,0,0,16.0,2019
35-40,0-2,3,2,0,0,159.0,2019
35-40,0-2,3,2,0,1,,2019
35-40,0-2,3,3,0,0,342.0,2019
35-40,0-2,3,3,0,1,37.0,2019
35-40,0-2,3,3,1,0,4542.0,2019
35-40,0-2,3,4,0,0,357.0,2019
35-40,0-2,3,4,0,1,,2019
35-40,0-2,4,0,0,0,,2019
35-40,0-2,4,1,0,0,19.0,2019
35-40,0-2,4,2,0,0,117.0,2019
35-40,0-2,4,3,0,0,253.0,2019
35-40,0-2,4,3,0,1,42.0,2019
35-40,0-2,4,4,0,0,678.0,2019
35-40,0-2,4,4,0,1,29.0,2019
35-40,0-2,4,4,1,0,5886.0,2019
35-40,11-20,0,0,1,0,18.0,2019
35-40,11-20,0,1,0,0,,2019
35-40,11-20,0,2,0,0,,2019
35-40,11-20,1,1,0,0,1668.0,2019
35-40,11-20,1,1,0,1,,2019
35-40,11-20,1,1,1,0,31214.0,2019
35-40,11-20,1,2,0,0,1336.0,2019
35-40,11-20,1,2,0,1,36.0,2019
35-40,11-20,1,3,0,0,382.0,2019
35-40,11-20,1,3,0,1,72.0,2019
35-40,11-20,1,4,0,0,281.0,2019
35-40,11-20,1,4,0,1,19.0,2019
35-40,11-20,2,1,0,0,1287.0,2019
35-40,11-20,2,1,0,1,,2019
35-40,11-20,2,2,0,0,3059.0,2019
35-40,11-20,2,2,0,1,90.0,2019
35-40,11-20,2,2,1,0,52492.0,2019
35-40,11-20,2,3,0,0,1072.0,2019
35-40,11-20,2,3,0,1,311.0,2019
35-40,11-20,2,4,0,0,905.0,2019
35-40,11-20,2,4,0,1,93.0,2019
35-40,11-20,3,1,0,0,285.0,2019
35-40,11-20,3,2,0,0,1190.0,2019
35-40,11-20,3,2,0,1,43.0,2019
35-40,11-20,3,3,0,0,1780.0,2019
35-40,11-20,3,3,0,1,293.0,2019
35-40,11-20,3,3,1,0,33271.0,2019
35-40,11-20,3,4,0,0,2102.0,2019
35-40,11-20,3,4,0,1,194.0,2019
35-40,11-20,4,0,0,0,,2019
35-40,11-20,4,0,0,1,,2019
35-40,11-20,4,1,0,0,182.0,2019
35-40,11-20,4,1,0,1,,2019
35-40,11-20,4,2,0,0,584.0,2019
35-40,11-20,4,2,0,1,51.0,2019
35-40,11-20,4,3,0,0,1787.0,2019
35-40,11-20,4,3,0,1,613.0,2019
35-40,11-20,4,4,0,0,4677.0,2019
35-40,11-20,4,4,0,1,618.0,2019
35-40,11-20,4,4,1,0,51499.0,2019
35-40,21+,0,1,0,0,,2019
35-40,21+,1,1,0,0,426.0,2019
35-40,21+,1,1,1,0,7301.0,2019
35-40,21+,1,2,0,0,264.0,2019
35-40,21+,1,2,0,1,6.0,2019
35-40,21+,1,3,0,0,72.0,2019
35-40,21+,1,3,0,1,21.0,2019
35-40,21+,1,4,0,0,50.0,2019
35-40,21+,1,4,0,1,7.0,2019
35-40,21+,2,1,0,0,241.0,2019
35-40,21+,2,2,0,0,496.0,2019
35-40,21+,2,2,0,1,18.0,2019
35-40,21+,2,2,1,0,8871.0,2019
35-40,21+,2,3,0,0,160.0,2019
35-40,21+,2,3,0,1,46.0,2019
35-40,21+,2,4,0,0,116.0,2019
35-40,21+,2,4,0,1,13.0,2019
35-40,21+,3,1,0,0,62.0,2019
35-40,21+,3,2,0,0,164.0,2019
35-40,21+,3,2,0,1,8.0,2019
35-40,21+,3,3,0,0,138.0,2019
35-40,21+,3,3,0,1,21.0,2019
35-40,21+,3,3,1,0,2826.0,2019
35-40,21+,3,4,0,0,142.0,2019
35-40,21+,3,4,0,1,22.0,2019
35-40,21+,4,1,0,0,23.0,2019
35-40,21+,4,2,0,0,54.0,2019
35-40,21+,4,2,0,1,,2019
35-40,21+,4,3,0,0,130.0,2019
35-40,21+,4,3,0,1,29.0,2019
35-40,21+,4,4,0,0,314.0,2019
35-40,21+,4,4,0,1,45.0,2019
35-40,21+,4,4,1,0,3252.0,2019
35-40,3-5,0,0,1,0,,2019
35-40,3-5,1,1,0,0,92.0,2019
35-40,3-5,1,1,1,0,1501.0,2019
35-40,3-5,1,2,0,0,83.0,2019
35-40,3-5,1,3,0,0,38.0,2019
35-40,3-5,1,3,0,1,,2019
35-40,3-5,1,4,0,0,26.0,2019
35-40,3-5,1,4,0,1,,2019
35-40,3-5,2,1,0,0,74.0,2019
35-40,3-5,2,1,0,1,,2019
35-40,3-5,2,2,0,0,478.0,2019
35-40,3-5,2,2,0,1,,2019
35-40,3-5,2,2,1,0,5863.0,2019
35-40,3-5,2,3,0,0,134.0,2019
35-40,3-5,2,3,0,1,56.0,2019
