inr,expband,fresh,n,ws,wh
214a,3-5,0,18.0,1200.030001,12.0
214a,3-5,1,14.0,914.199983,9.0
214a,6-10,0,19.0,1201.089983,11.0
214a,6-10,1,18.0,1385.0999459999998,18.0
214b,11-20,0,32.0,2865.3999089999998,32.0
214b,11-20,1,56.0,4810.999849,49.0
214b,21+,0,67.0,6013.649804,67.0
214b,21+,1,114.0,9234.539732,93.0
214b,6-10,0,35.0,2043.67999,9.0
214b,6-10,1,26.0,1790.559965,11.0
214c,0-2,0,26.0,1680.160047,11.0
214c,0-2,1,27.0,1655.460024,10.0
214c,11-20,0,80.0,6587.389998,63.0
214c,11-20,1,198.0,16510.609966,159.0
214c,21+,0,21.0,1834.349958,21.0
214c,21+,1,71.0,6159.129921,71.0
214c,3-5,0,23.0,2144.980046,23.0
214c,3-5,1,26.0,1935.460052,16.0
214c,6-10,0,37.0,3009.56005,29.0
214c,6-10,1,47.0,4085.390051,42.0
214x,0-2,0,543.0,27601.260322,146.0
214x,0-2,1,445.0,29586.6700489,257.0
214x,11-20,0,333.0,27419.099973,274.0
214x,11-20,1,573.0,46917.089667,475.0
214x,21+,0,48.0,4236.77996,48.0
214x,21+,1,115.0,9576.46989,99.0
214x,3-5,0,316.0,22905.9800128,210.0
214x,3-5,1,429.0,34717.259917999996,359.0
214x,6-10,0,400.0,30517.1999885,298.0
214x,6-10,1,641.0,51507.449788,521.0
214x,na,0,68.0,5262.3599634,57.0
214x,na,1,121.0,9075.919922,97.0
215z,0-2,0,176.0,7565.6201393,22.0
215z,0-2,1,149.0,6892.7200805,24.0
215z,11-20,0,190.0,9555.810097,36.0
215z,11-20,1,347.0,16557.9800054,76.0
215z,21+,1,44.0,2531.619991,9.0
215z,3-5,0,95.0,3592.5200237,9.0
215z,3-5,1,130.0,5846.0499836,25.0
215z,6-10,0,153.0,7106.020111000001,30.0
215z,6-10,1,246.0,11764.8500395,53.0
219z,0-2,0,1412.0,69479.1105663,307.0
219z,0-2,1,1174.0,63688.3002739,310.0
219z,11-20,0,1356.0,82920.2904409,580.0
219z,11-20,1,2111.0,126826.8502434,813.0
219z,21+,0,553.0,30625.4601977,199.0
219z,21+,1,881.0,49060.6500196,281.0
219z,3-5,0,658.0,36537.9402527,205.0
219z,3-5,1,747.0,47411.8901897,294.0
219z,6-10,0,1097.0,64975.6603508,418.0
219z,6-10,1,1436.0,89707.150208,572.0
219z,na,0,328.0,15797.1700388,100.0
219z,na,1,537.0,24455.8999164,90.0
220z,0-2,0,41.0,1313.000031,0.0
220z,0-2,1,34.0,1324.690014,0.0
220z,na,0,62.0,1398.600009,0.0
220z,na,1,50.0,1305.7400062,0.0
221a,0-2,0,72.0,4082.130045,7.0
221a,0-2,1,240.0,14694.78018,33.0
221a,11-20,0,192.0,12565.350123,33.0
221a,11-20,1,945.0,60190.320749,87.0
221a,21+,0,799.0,49544.650734999996,13.0
221a,21+,1,1318.0,82732.36114,88.0
221a,3-5,0,47.0,2759.01003,5.0
221a,3-5,1,220.0,13867.970123,42.0
221a,6-10,0,68.0,3859.260049,0.0
