grp,expband,fresh,n,ws,wh
35M,3-5,1,1771.0,145899.66098000002,1454.0
35M,6-10,0,1898.0,158369.8711547,1588.0
35M,6-10,1,3673.0,296894.8117572,2954.0
35M,na,0,53.0,3689.3000228,34.0
35M,na,1,93.0,8038.980020999999,88.0
35P,0-2,0,209.0,14780.629896999999,149.0
35P,0-2,1,1843.0,145507.028903,1682.0
35P,11-20,0,688.0,54093.619869999995,596.0
35P,11-20,1,3779.0,300592.028511,3362.0
35P,21+,0,437.0,35280.279852,396.0
35P,21+,1,1785.0,141041.649693,1620.0
35P,3-5,0,317.0,25079.659782000002,292.0
35P,3-5,1,1817.0,145402.018853,1703.0
35P,6-10,0,555.0,43585.539849,493.0
35P,6-10,1,2948.0,235158.06841900002,2683.0
35P,na,0,147.0,11750.549986,140.0
35P,na,1,799.0,62907.849807,746.0
35S,0-2,0,1439.0,86030.1704424,538.0
35S,0-2,1,4620.0,345560.2816692,2801.0
35S,11-20,0,1986.0,149587.1900585,1143.0
35S,11-20,1,8748.0,676725.8406426,5610.0
35S,21+,0,2963.0,227869.5200863,1915.0
35S,21+,1,8495.0,622758.9901818,5183.0
35S,3-5,0,1035.0,74432.330321,577.0
35S,3-5,1,4452.0,353757.0413769,2991.0
35S,6-10,0,1501.0,114997.27053020001,950.0
35S,6-10,1,6545.0,531105.6410493,4676.0
35S,na,0,628.0,37181.8202067,265.0
35S,na,1,2218.0,111166.6700567,622.0
35V,0-2,0,54.0,4426.4400000000005,54.0
35V,0-2,1,1615.0,129596.569975,1602.0
35V,11-20,0,98.0,8102.719999999999,98.0
35V,11-20,1,1568.0,127075.940114,1440.0
35V,21+,0,412.0,32192.2699676,356.0
35V,21+,1,3096.0,240203.9002162,2612.0
35V,3-5,0,122.0,9880.1,122.0
35V,3-5,1,2130.0,169527.090058,2015.0
35V,6-10,0,129.0,10562.999979999999,129.0
35V,6-10,1,2163.0,174307.720112,2033.0
35V,na,0,164.0,13224.169990999999,158.0
35V,na,1,750.0,58991.94001,663.0
35Y,0-2,0,3480.0,214824.8917616,1419.0
35Y,0-2,1,5838.0,424501.6808111,3646.0
35Y,11-20,0,5290.0,400568.0010516,3231.0
35Y,11-20,1,9737.0,706533.3911207,5693.0
35Y,21+,0,3518.0,267820.1609187,2066.0
35Y,21+,1,5218.0,378097.8911133,3006.0
35Y,3-5,0,2563.0,196155.9903636,1715.0
35Y,3-5,1,4477.0,357826.1485059,3408.0
35Y,6-10,0,3793.0,299911.65033780003,2609.0
35Y,6-10,1,6514.0,500505.7895039,4397.0
35Y,na,0,242.0,18826.030067,150.0
35Y,na,1,530.0,33217.520065000004,258.0
43Z,0-2,0,85.0,4569.7300759,25.0
43Z,0-2,1,275.0,13227.470015500001,64.0
43Z,11-20,0,438.0,22221.880081799998,120.0
