year_month,age_group,vintage,n_emp,share
2024-05,50+,2021,577,0.00027579152646069134
2024-05,50+,2022,761,0.00036373891098195166
2024-05,50+,2023,2090822,0.9993604695625573
2024-06,22-25,2021,116,0.00030187343695919764
2024-06,22-25,2022,231,0.0006011445167032298
2024-06,22-25,2023,383920,0.9990969820463376
2024-06,26-30,2021,180,0.0003245049946727097
2024-06,26-30,2022,422,0.0007607839319549082
2024-06,26-30,2023,554089,0.9989147110733724
2024-06,31-34,2021,226,0.00041108398846054504
2024-06,31-34,2022,361,0.0006566430081161803
2024-06,31-34,2023,549179,0.9989322730034232
2024-06,35-40,2021,265,0.00034002520035824544
2024-06,35-40,2022,463,0.0005940817651542174
2024-06,35-40,2023,778626,0.9990658930344876
2024-06,41-49,2021,335,0.00031102119864784695
2024-06,41-49,2022,556,0.0005162023476065758
2024-06,41-49,2023,1076206,0.9991727764537456
2024-06,50+,2021,562,0.0002663672483931467
2024-06,50+,2022,729,0.00034551908199039844
2024-06,50+,2023,2108578,0.9993881136696164
2024-07,22-25,2021,183,0.0004567817107598302
2024-07,22-25,2022,293,0.0007313499522001652
2024-07,22-25,2023,400153,0.99881186833704
2024-07,26-30,2021,215,0.00039148849388003334
2024-07,26-30,2022,417,0.0007593055904556926
2024-07,26-30,2023,548554,0.9988492059156643
2024-07,31-34,2021,229,0.00042541728977605215
2024-07,31-34,2022,358,0.0006650628372918195
2024-07,31-34,2023,537708,0.9989095198729321
2024-07,35-40,2021,262,0.0003439299643074209
2024-07,35-40,2022,444,0.0005828431456202095
2024-07,35-40,2023,761077,0.9990732268900724
2024-07,41-49,2021,324,0.000307257828199251
2024-07,41-49,2022,518,0.0004912331944667038
2024-07,41-49,2023,1053647,0.9992015089773341
2024-07,50+,2021,571,0.00027775602319530336
2024-07,50+,2022,682,0.0003317506266535847
2024-07,50+,2023,2054508,0.9993904933501511
2024-08,22-25,2021,206,0.0005265269921762178
2024-08,22-25,2022,340,0.0008690251327180294
2024-08,22-25,2023,390697,0.9986044478751057
2024-08,26-30,2021,225,0.00041500587463871435
2024-08,26-30,2022,430,0.0007931223381984319
2024-08,26-30,2023,541506,0.9987918717871629
2024-08,31-34,2021,225,0.00042295459159504635
2024-08,31-34,2022,359,0.0006748475483672073
2024-08,31-34,2023,531388,0.9989021978600378
2024-08,35-40,2021,264,0.0003511712358833154
2024-08,35-40,2022,455,0.0006052383042685928
2024-08,35-40,2023,751051,0.9990435904598481
2024-08,41-49,2021,333,0.0003200608980735794
2024-08,41-49,2022,513,0.0004930667889241629
2024-08,41-49,2023,1039581,0.9991868723130023
